Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_YJD8MBXR	2		2	2	1	Mesenchymal tumor
BS_YK6VQ9SJ	1288	28	26	54	0.0419254658385093	Mixed neuronal-glial tumor
BS_YMAJC22S	2439	4	26	30	0.01230012300123	Low-grade glioma
BS_YMKQT5V0	1813	15	45	60	0.0330943188086045	DIPG or DMG
BS_YMKX1VP4	2800	83	49	132	0.0471428571428571	Medulloblastoma
BS_YMN2NJ0Y	1576	26	5	31	0.0196700507614213	Schwannoma
BS_YNEQJ6AH	2452	8	22	30	0.0122349102773246	Mixed neuronal-glial tumor
BS_YNG08H1N	729	26	6	32	0.0438957475994513	Non-neoplastic tumor
BS_YQFX2Y00	1172	46	19	65	0.0554607508532423	Ependymoma
BS_YR12D1ZY	1517	9	15	24	0.015820698747528	DIPG or DMG
BS_YR1XY6SF	1665	22	6	28	0.0168168168168168	Other high-grade glioma
BS_YT4E515V	1708	42	10	52	0.0304449648711944	Low-grade glioma
BS_YTMHB7J1	1811	22	177	199	0.109884041965765	Medulloblastoma
BS_YTTMKCBX	1690	28	7	35	0.0207100591715976	Ependymoma
BS_YTWEM5SG	1942	6	19	25	0.0128733264675592	DIPG or DMG
BS_YVEEXAAT	1032	119	66	185	0.179263565891473	Low-grade glioma
BS_YVMEEBKC	2461	5	7	12	0.00487606663957741	Low-grade glioma
BS_YWHJY99A	1757	12	17	29	0.016505406943654	Medulloblastoma
BS_YWJKHMXV	1592	17	8	25	0.0157035175879397	Low-grade glioma
BS_YXP55JEG	1708	40	8	48	0.0281030444964871	Medulloblastoma
BS_YY5B2XDD	1782	16	7	23	0.0129068462401796	Low-grade glioma
BS_YZ2QFDAN	2215	14	10	24	0.0108352144469526	Other high-grade glioma
BS_YZ2Z1Q6Y	1300	20	73	93	0.0715384615384615	Low-grade glioma
BS_YZM9RFVD	1652	26	20	46	0.0278450363196126	Ependymoma
BS_Z0AVVB1V	2210	4	10	14	0.00633484162895928	Low-grade glioma
BS_Z0ZPD9S9	1135	53	20	73	0.0643171806167401	DIPG or DMG
BS_Z1A875MW	2195	3	6	9	0.0041002277904328	Mixed neuronal-glial tumor
BS_Z28VKGNS	1551	103	109	212	0.136686009026435	Neurofibroma plexiform
BS_Z2NWPQKF	1797	27	14	41	0.0228158041179744	Non-neoplastic tumor
BS_Z30J2YJV	1981	24	61	85	0.0429076224129228	Germ cell tumor
BS_Z3RCA1T9	2660	3	12	15	0.0056390977443609	DIPG or DMG
BS_Z45HD492	1930	5	21	26	0.0134715025906736	Medulloblastoma
BS_Z5ATH1YR	1060	79	29	108	0.10188679245283	Low-grade glioma
BS_Z6BWR941	2366	4	1	5	0.00211327134404058	Low-grade glioma
BS_Z6MC4N8D	2331	29	35	64	0.0274560274560275	Non-neoplastic tumor
BS_Z72QAZC7	2412	11	14	25	0.0103648424543947	Non-neoplastic tumor
BS_Z7890YNR	2101	21	9	30	0.014278914802475	Ependymoma
BS_Z7G68ZS2	1634	12	7	19	0.0116279069767442	Non-neoplastic tumor
BS_Z7Y2466H	2144	2	5	7	0.00326492537313433	Low-grade glioma
BS_Z85M2R3N	2355	18	10	28	0.0118895966029724	Choroid plexus tumor
BS_Z8F3GM85	2224	14	8	22	0.00989208633093525	Other high-grade glioma
BS_Z9BBQBA7	1625	12	195	207	0.127384615384615	Medulloblastoma
BS_Z9ZS6ZS2	1326	23	6	29	0.0218702865761689	Non-neoplastic tumor
BS_ZA9XT151	670	43	26	69	0.102985074626866	Mesenchymal tumor
BS_ZC1194Z8	581	47	17	64	0.110154905335628	Ependymoma
BS_ZD6XFSVJ	1917	16	22	38	0.0198226395409494	Other high-grade glioma
BS_ZDJEXPYG	2630	65	35	100	0.0380228136882129	Medulloblastoma
BS_ZE4Y0X18	1752	29	7	36	0.0205479452054795	Meningioma
BS_ZEV0M416	1233	13	2	15	0.0121654501216545	Atypical Teratoid Rhabdoid Tumor
BS_ZF34SJGN	1901	8	14	22	0.011572856391373	Craniopharyngioma
BS_ZF6BSFNF	2064	10	8	18	0.00872093023255814	DIPG or DMG
BS_ZH1FBX50	2156	9	21	30	0.0139146567717996	Non-neoplastic tumor
BS_ZHHAM3AN	1909	9	7	16	0.00838135149292824	Mesenchymal tumor
BS_ZHRGDRBW	2626	61	32	93	0.0354150799695354	Mixed neuronal-glial tumor
BS_ZJC7VQNA	722	32	42	74	0.102493074792244	Ependymoma
BS_ZJGXGR1V	1719	61	26	87	0.0506108202443281	Other tumor
BS_ZJY7Y34M	1527	29	21	50	0.0327439423706614	Mixed neuronal-glial tumor
BS_ZK6WE17T	2084	5	33	38	0.0182341650671785	Mixed neuronal-glial tumor
BS_ZM97KKXE	2542	25	22	47	0.0184893784421715	DIPG or DMG
BS_ZMA11A2B	1667	31	102	133	0.0797840431913617	Other high-grade glioma
BS_ZMZTCQRM	1103	133	76	209	0.189483227561197	Medulloblastoma
BS_ZN5A4MJ2	1097	18	8	26	0.0237010027347311	Non-neoplastic tumor
BS_ZN8136D9	1672	16	7	23	0.013755980861244	Choroid plexus tumor
BS_ZQ76ZBEX	1449	6	18	24	0.0165631469979296	Other CNS embryonal tumor
BS_ZQKGJD70	1607	5	4	9	0.00560049782202863	Other CNS embryonal tumor
BS_ZQSPP1JM	428	64	24	88	0.205607476635514	Meningioma
BS_ZR96A4FH	2193	12	30	42	0.0191518467852257	Mixed neuronal-glial tumor
BS_ZRF3A49T	378	26	19	45	0.119047619047619	Low-grade glioma
BS_ZRM0W01M	1863	9	14	23	0.0123456790123457	Low-grade glioma
BS_ZRSHXK63	1260	40	14	54	0.0428571428571429	Mixed neuronal-glial tumor
BS_ZT3QMF6F	352	41	22	63	0.178977272727273	DIPG or DMG
BS_ZTWGFWTX	1679	12	7	19	0.01131625967838	Low-grade glioma
BS_ZV1P6W9C	1886	18	16	34	0.0180275715800636	DIPG or DMG
BS_ZV68CES9	2587	8	13	21	0.00811751063007344	Medulloblastoma
BS_ZV9Z3SY6	1964	9	6	15	0.00763747454175153	Low-grade glioma
BS_ZVX2GRD6	1778	21	14	35	0.0196850393700787	Low-grade glioma
BS_ZVZDDW2G	1916	3	3	6	0.00313152400835073	Low-grade glioma
BS_ZW4HD9ZS	711	40	18	58	0.0815752461322082	Choroid plexus tumor
BS_ZWR9W4FX	2088	5	7	12	0.00574712643678161	Craniopharyngioma
BS_ZXYDSBM9	2337	12	14	26	0.0111253744116389	Medulloblastoma
BS_ZYBZRQRC	1480	19	7	26	0.0175675675675676	Medulloblastoma
BS_ZYPMR035	2258	17	14	31	0.0137289636846767	Other high-grade glioma
BS_ZYVWSXNK	1101	38	6	44	0.0399636693914623	Ependymoma
BS_ZZ87PZ8R	360	51	20	71	0.197222222222222	Mixed neuronal-glial tumor
BS_ZZF7B1MH	185	21	6	27	0.145945945945946	Mixed neuronal-glial tumor
BS_ZZMYDZJW	2212	10	1	11	0.00497287522603978	Low-grade glioma
BS_ZZPBANDD	2261	9	3	12	0.00530738611233967	Mixed neuronal-glial tumor
BS_ZZWMD6FA	2444	2	3	5	0.00204582651391162	Mixed neuronal-glial tumor
