Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_MQCKXD60	3617	355	231	586	0.162012717721869	EPN
BS_MT15SGJN	3190	105	70	175	0.054858934169279	EPN
BS_N5DVEJXT	14097	78	53	131	0.00929275732425339	EPN
BS_N8J1DP02	15001	281	219	500	0.0333311112592494	EPN
BS_NFJPYMET	9048	271	375	646	0.0713969938107869	EPN
BS_NGHK9RZP	11035	76	223	299	0.0270956048935206	EPN
BS_NH7K4CD9	8679	257	432	689	0.079387026155087	EPN
BS_NJ19NGVS	5097	42	56	98	0.0192269962723171	EPN
BS_NWNTY3FZ	4684	312	177	489	0.104397950469684	EPN
BS_P78SMRBS	14462	118	124	242	0.0167335085050477	EPN
BS_P7A4C235	5973	99	117	216	0.036162732295329	EPN
BS_PJPGVD62	10749	493	382	875	0.0814029212019723	EPN
BS_PJTQHTRA	10381	671	652	1323	0.127444369521241	EPN
BS_PRAEF32W	6159	60	80	140	0.0227309628186394	EPN
BS_PSW27ZTE	11790	36	37	73	0.00619168787107718	EPN
BS_Q5Q81SPA	9669	160	85	245	0.0253387113455373	EPN
BS_Q5WZYWCT	13727	253	189	442	0.0321993152181831	EPN
BS_QXKRN6CR	5348	119	133	252	0.0471204188481675	EPN
BS_QZAR0AB5	11398	347	218	565	0.0495701000175469	EPN
BS_RCFQ31XF	8866	29	64	93	0.0104895104895105	EPN
BS_RGPSEMHC	7105	72	178	250	0.0351864883884588	EPN
BS_RHD7XPNP	13680	33	61	94	0.00687134502923977	EPN
BS_S0175QKX	15397	67	39	106	0.0068844580113009	EPN
BS_S56VRTCE	9714	172	160	332	0.034177475808112	EPN
BS_SAA624A4	3058	254	355	609	0.199149771092217	EPN
BS_SDCNP7MW	9929	137	243	380	0.0382717292778729	EPN
BS_SV3YAAC1	3336	313	105	418	0.125299760191847	EPN
BS_SVBQN72V	3661	188	76	264	0.0721114449603933	EPN
BS_SXCZ3CXN	15598	99	42	141	0.00903962046416207	EPN
BS_T1DVKKJB	13657	489	121	610	0.0446657391813722	EPN
BS_T4P3J13C	12780	62	35	97	0.00758998435054773	EPN
BS_TBWYAFSM	13854	62	165	227	0.016385159520716	EPN
BS_TCWW2GSK	6449	475	88	563	0.087300356644441	EPN
BS_TF8R864V	6961	128	410	538	0.0772877460135038	EPN
BS_TNRHHYNC	14101	187	223	410	0.0290759520601376	EPN
BS_TXY8QYWA	11718	132	157	289	0.024662911759686	EPN
BS_TZ5D0A7R	15018	446	258	704	0.0468770808363297	EPN
BS_V4D4YPV1	12317	678	103	781	0.0634082974750345	EPN
BS_V4W81SFC	16159	64	56	120	0.0074262021164676	EPN
BS_VAAHBH60	8782	594	230	824	0.0938282851286723	EPN
BS_VJ2S5DVS	13111	381	713	1094	0.0834413850964839	EPN
BS_W568T9CS	8686	71	240	311	0.0358047432650242	EPN
BS_W80TJC27	4741	58	42	100	0.021092596498629	EPN
BS_WETH5SAH	5097	126	76	202	0.0396311555817147	EPN
BS_WFD0GE5X	13524	27	44	71	0.00524992605737947	EPN
BS_WFQT9J8Q	2576	520	252	772	0.299689440993789	EPN
BS_WGK8ZMVA	12280	91	165	256	0.0208469055374593	EPN
BS_WQ0K79EA	4457	291	197	488	0.109490688804128	EPN
BS_WQ5FDHF8	16832	184	604	788	0.0468155893536122	EPN
BS_WRHDP7WF	22660	86	92	178	0.00785525154457193	EPN
BS_WYERXS4G	4036	29	102	131	0.0324578790882061	EPN
BS_X1S67ZEA	10129	89	48	137	0.0135255207819133	EPN
BS_X67GTEM6	12831	30	46	76	0.00592315485932507	EPN
BS_XF0ZX2B3	6074	118	66	184	0.030293052354297	EPN
BS_XPBEHJ77	2237	407	191	598	0.267322306660706	EPN
BS_XQYHPBFS	10237	118	66	184	0.0179740158249487	EPN
BS_YQFX2Y00	7417	142	165	307	0.0413913981394095	EPN
BS_YTTMKCBX	11798	103	94	197	0.016697745380573	EPN
BS_YZM9RFVD	10749	210	193	403	0.0374918597078798	EPN
BS_Z7890YNR	11516	306	138	444	0.0385550538381382	EPN
BS_ZC1194Z8	3895	508	211	719	0.184595635430039	EPN
BS_ZJC7VQNA	3417	206	388	594	0.173836698858648	EPN
BS_ZYVWSXNK	6054	190	108	298	0.0492236537826231	EPN
