sample	cluster_assigned	method
BS_2EDZ7F2G	11	pam_canberra_13
BS_2EMW8ZG3	3	pam_canberra_13
BS_2EN3X6HB	12	pam_canberra_13
BS_2F5CPC8C	8	pam_canberra_13
BS_2FEZWH1F	4	pam_canberra_13
BS_2FVW6473	7	pam_canberra_13
BS_2G4EH95X	9	pam_canberra_13
BS_2GSAPE1R	11	pam_canberra_13
BS_2HNXVFAS	3	pam_canberra_13
BS_2JP7RBMB	4	pam_canberra_13
BS_2K01T8K6	7	pam_canberra_13
BS_2K3FVT86	5	pam_canberra_13
BS_2M4174KG	6	pam_canberra_13
BS_2QCQYY6M	2	pam_canberra_13
BS_2QGRF15R	13	pam_canberra_13
BS_2R9HK6YY	2	pam_canberra_13
BS_2S4M5VH9	8	pam_canberra_13
BS_2SFTWNVE	9	pam_canberra_13
BS_2SHWPB5P	12	pam_canberra_13
BS_2T5PJAW8	11	pam_canberra_13
BS_2WANPFBJ	4	pam_canberra_13
BS_2WPQ8YCW	3	pam_canberra_13
BS_2WXXHDJ8	4	pam_canberra_13
BS_2XD3MNKD	1	pam_canberra_13
BS_2XM08BFY	2	pam_canberra_13
BS_2YCJV2VV	3	pam_canberra_13
BS_2Z1MKS84	9	pam_canberra_13
BS_304SPN6B	2	pam_canberra_13
BS_30F3Z9FS	7	pam_canberra_13
BS_30VC3R2Q	3	pam_canberra_13
BS_30YWQ3FY	7	pam_canberra_13
BS_312K12XX	8	pam_canberra_13
BS_31MBRWC4	7	pam_canberra_13
BS_31TF0P1N	5	pam_canberra_13
BS_32FYKNRN	4	pam_canberra_13
BS_333KCNDP	7	pam_canberra_13
BS_33AQSPRP	11	pam_canberra_13
BS_34201DKZ	10	pam_canberra_13
BS_34CAMM62	6	pam_canberra_13
BS_36T79XQZ	11	pam_canberra_13
BS_37GTVG4N	9	pam_canberra_13
BS_397XFJY9	6	pam_canberra_13
BS_398KYV92	1	pam_canberra_13
BS_399RPKC9	3	pam_canberra_13
BS_39CGACC7	1	pam_canberra_13
BS_39ZZQVFE	7	pam_canberra_13
BS_3A9BTVZJ	2	pam_canberra_13
BS_3AC3SRWH	11	pam_canberra_13
BS_3BVVWHP5	5	pam_canberra_13
BS_3DCBDJAT	5	pam_canberra_13
BS_3EVSN5QD	3	pam_canberra_13
BS_3F5PR9GS	9	pam_canberra_13
BS_3G3KWY18	3	pam_canberra_13
BS_3GAN6Q43	4	pam_canberra_13
BS_3GDARCHK	5	pam_canberra_13
BS_3HGBZBGA	11	pam_canberra_13
BS_3J85TTZM	5	pam_canberra_13
BS_3J89DCN0	12	pam_canberra_13
BS_3KASVCSQ	1	pam_canberra_13
BS_3KHXMAJF	12	pam_canberra_13
BS_3MS8WVNR	3	pam_canberra_13
BS_3MYEMXPQ	9	pam_canberra_13
BS_3N2YFZFB	7	pam_canberra_13
BS_3NNQ6PSB	1	pam_canberra_13
BS_3NQB12XN	10	pam_canberra_13
BS_3P20Q2C3	1	pam_canberra_13
BS_3PYESPHA	1	pam_canberra_13
BS_3Q0GTSYH	3	pam_canberra_13
BS_3R4N22YY	13	pam_canberra_13
BS_3RAM3K7B	9	pam_canberra_13
BS_3SZZ50WB	6	pam_canberra_13
BS_3T6X4BPC	1	pam_canberra_13
BS_3TFMJH30	11	pam_canberra_13
BS_3TJHY996	4	pam_canberra_13
BS_3TQSE8HF	3	pam_canberra_13
BS_3V3KE3VT	9	pam_canberra_13
BS_3VJ0CA6A	2	pam_canberra_13
BS_3W07B2TG	3	pam_canberra_13
BS_3X9WMZGJ	10	pam_canberra_13
BS_3XVSTN5S	13	pam_canberra_13
BS_3XY76V8T	3	pam_canberra_13
BS_3XYJBBHQ	2	pam_canberra_13
BS_3Y2X2RBJ	4	pam_canberra_13
BS_3ZBQX151	4	pam_canberra_13
BS_3ZGXMCJS	8	pam_canberra_13
BS_3ZPJAK9A	7	pam_canberra_13
BS_401R3KV0	3	pam_canberra_13
BS_418N847Z	10	pam_canberra_13
BS_41YS708B	4	pam_canberra_13
BS_421D5Q6J	4	pam_canberra_13
BS_42DY6WS7	3	pam_canberra_13
BS_42Y3YANN	3	pam_canberra_13
BS_45J79YTF	3	pam_canberra_13
BS_46BZ2NNN	5	pam_canberra_13
BS_46MF83WA	6	pam_canberra_13
BS_470DYRJQ	1	pam_canberra_13
BS_474A88X1	11	pam_canberra_13
BS_478TN841	3	pam_canberra_13
BS_479S95Q6	5	pam_canberra_13
BS_47SJZ3PH	3	pam_canberra_13
BS_49852ZBH	3	pam_canberra_13
BS_49BQS7Z6	10	pam_canberra_13
BS_49CJNZ06	4	pam_canberra_13
BS_49FQXT2E	3	pam_canberra_13
BS_49VCQD19	5	pam_canberra_13
BS_4A45GGSW	3	pam_canberra_13
BS_4B0BAVTX	5	pam_canberra_13
BS_4BGSTBN0	7	pam_canberra_13
BS_4BM3F6XJ	2	pam_canberra_13
BS_4BWB0FA0	3	pam_canberra_13
BS_4C4MZ4NT	3	pam_canberra_13
BS_4C6B11E4	12	pam_canberra_13
BS_4CP4T22V	9	pam_canberra_13
BS_4CXE5XEP	2	pam_canberra_13
BS_4D9DD103	9	pam_canberra_13
BS_4EN8D8Y4	3	pam_canberra_13
BS_4GNN7J8E	7	pam_canberra_13
BS_4HQ3T2NC	3	pam_canberra_13
BS_4JWBB28H	9	pam_canberra_13
BS_4K2TNJ8R	11	pam_canberra_13
BS_4KNBXM3C	7	pam_canberra_13
BS_4N1GNHX4	2	pam_canberra_13
BS_4NF35AF6	3	pam_canberra_13
BS_4NWHYH53	10	pam_canberra_13
BS_4PBXY1E3	9	pam_canberra_13
BS_4PH1MBGR	9	pam_canberra_13
BS_4PPHAQXF	4	pam_canberra_13
BS_4PWDGEB0	2	pam_canberra_13
BS_4Q3KRCZT	7	pam_canberra_13
BS_4Q3NRFBD	13	pam_canberra_13
BS_4QW2S1Q8	3	pam_canberra_13
BS_4RAHHT12	8	pam_canberra_13
BS_4SCWT0FX	10	pam_canberra_13
BS_4SKWCEDV	8	pam_canberra_13
BS_4SM4CG1E	8	pam_canberra_13
BS_4T0HPZDC	5	pam_canberra_13
BS_4T0HQ9QF	11	pam_canberra_13
BS_4TZQY7TT	11	pam_canberra_13
BS_4V42BXBT	1	pam_canberra_13
BS_4W1DBAN4	1	pam_canberra_13
BS_4W1PKKYD	2	pam_canberra_13
BS_4W68NV3M	9	pam_canberra_13
BS_4X5GB9K0	8	pam_canberra_13
BS_4XH092HE	4	pam_canberra_13
BS_4XZH52X8	8	pam_canberra_13
BS_4Y2JAQTS	1	pam_canberra_13
BS_4Y6BCYK5	3	pam_canberra_13
BS_4Y93HVP4	4	pam_canberra_13
BS_4Z2F4P9N	3	pam_canberra_13
BS_503DZ8BN	4	pam_canberra_13
BS_50S6TFFE	10	pam_canberra_13
BS_516X056B	9	pam_canberra_13
BS_51RA1PGE	3	pam_canberra_13
BS_52426AMF	3	pam_canberra_13
BS_52C576HH	3	pam_canberra_13
BS_52DAPP1Y	3	pam_canberra_13
BS_52MPKTJH	1	pam_canberra_13
BS_52TQWRJN	4	pam_canberra_13
BS_534XRSNB	2	pam_canberra_13
BS_53GQKVEX	3	pam_canberra_13
BS_53KFK3G0	4	pam_canberra_13
BS_53M8PP88	10	pam_canberra_13
BS_54CFNJ16	11	pam_canberra_13
BS_54H90JW2	2	pam_canberra_13
BS_55JW3HFM	3	pam_canberra_13
BS_55P8HPYD	3	pam_canberra_13
BS_55X1W2MR	11	pam_canberra_13
BS_57NMZPS0	11	pam_canberra_13
BS_58AJ8F56	11	pam_canberra_13
BS_58N4Y4ZJ	6	pam_canberra_13
BS_58YXHGAJ	4	pam_canberra_13
BS_593HEWBF	3	pam_canberra_13
BS_5965SFPZ	10	pam_canberra_13
BS_596QRYFP	2	pam_canberra_13
BS_5AF6ZNJF	5	pam_canberra_13
BS_5FRQVRRE	13	pam_canberra_13
BS_5G5BD2MD	11	pam_canberra_13
BS_5J5D3QTD	4	pam_canberra_13
BS_5JM573JC	5	pam_canberra_13
BS_5K3R0F5D	1	pam_canberra_13
BS_5K95FX4C	7	pam_canberra_13
BS_5KBXD2GQ	11	pam_canberra_13
BS_5NWDARXG	3	pam_canberra_13
BS_5P3CZQV8	5	pam_canberra_13
BS_5P7SBSZV	2	pam_canberra_13
BS_5PEFNDCY	3	pam_canberra_13
BS_5PJCHF6V	9	pam_canberra_13
BS_5PV5N4HQ	3	pam_canberra_13
BS_5SWXR2QQ	11	pam_canberra_13
BS_5TKDAEGA	4	pam_canberra_13
BS_5VPM0F36	4	pam_canberra_13
BS_5VQP0E6K	9	pam_canberra_13
BS_5YJEPPTP	3	pam_canberra_13
BS_5YYCP891	2	pam_canberra_13
BS_5Z9VV6T5	6	pam_canberra_13
BS_5ZD8FRPJ	7	pam_canberra_13
BS_60DX1WQ5	11	pam_canberra_13
BS_60K3EQ9S	1	pam_canberra_13
BS_613KQVAE	10	pam_canberra_13
BS_61E80SD6	9	pam_canberra_13
BS_62SW4CC5	7	pam_canberra_13
BS_63F8QR26	11	pam_canberra_13
BS_63JT39PX	2	pam_canberra_13
BS_64HCD9K3	9	pam_canberra_13
BS_65A41ZQJ	7	pam_canberra_13
BS_65WPD3DA	7	pam_canberra_13
BS_66ABA973	3	pam_canberra_13
BS_66HQ3E4Z	3	pam_canberra_13
BS_67PX06P3	5	pam_canberra_13
BS_67V4F080	1	pam_canberra_13
BS_67Z63A2K	10	pam_canberra_13
BS_680K119G	1	pam_canberra_13
BS_685DACMS	9	pam_canberra_13
BS_68BW2163	3	pam_canberra_13
BS_68KX6A42	3	pam_canberra_13
BS_699TN5RN	3	pam_canberra_13
BS_69V8P8A0	5	pam_canberra_13
BS_6AB299R2	9	pam_canberra_13
BS_6AFD49QR	4	pam_canberra_13
BS_6AQ5RR83	2	pam_canberra_13
BS_6BGES4ZG	7	pam_canberra_13
BS_6BHX3P3N	11	pam_canberra_13
BS_6BQ2Q78K	6	pam_canberra_13
BS_6DCSD5Y6	3	pam_canberra_13
BS_6EW6X0J0	6	pam_canberra_13
BS_6H1C1ME9	10	pam_canberra_13
BS_6H4Q24WA	7	pam_canberra_13
BS_6HTK4YJP	5	pam_canberra_13
BS_6HXD39AM	4	pam_canberra_13
BS_6KBHF52X	8	pam_canberra_13
BS_6M2053M0	11	pam_canberra_13
BS_6MY8W3H0	1	pam_canberra_13
BS_6MZ7FRZH	10	pam_canberra_13
BS_6N3AFF66	3	pam_canberra_13
BS_6N7YE1A4	10	pam_canberra_13
BS_6NBTFA33	8	pam_canberra_13
BS_6NJRE82B	13	pam_canberra_13
BS_6NTXGQAC	5	pam_canberra_13
BS_6P50QTPP	3	pam_canberra_13
BS_6PWHC64Y	6	pam_canberra_13
BS_6R7SFVV2	5	pam_canberra_13
BS_6RX2743N	6	pam_canberra_13
BS_6S15GTH4	4	pam_canberra_13
BS_6SY64H5J	7	pam_canberra_13
BS_6T4JGBGY	13	pam_canberra_13
BS_6TB7MG0W	2	pam_canberra_13
BS_6TSAVMT9	4	pam_canberra_13
BS_6VF6VPCG	3	pam_canberra_13
BS_6VPPC681	12	pam_canberra_13
BS_6VRG1XFB	6	pam_canberra_13
BS_6VW8FC7Z	4	pam_canberra_13
BS_6VYSQ8T6	8	pam_canberra_13
BS_6W0VHGQE	6	pam_canberra_13
BS_6W8E9283	5	pam_canberra_13
BS_6WP1FHTE	3	pam_canberra_13
BS_6XB4G8ME	4	pam_canberra_13
BS_6XHRA95C	6	pam_canberra_13
BS_6YMJ621P	5	pam_canberra_13
BS_71GFQYV5	11	pam_canberra_13
BS_730EYWFA	5	pam_canberra_13
BS_7327SDAQ	3	pam_canberra_13
BS_73GEX9CY	13	pam_canberra_13
BS_742RHK1M	5	pam_canberra_13
BS_74FS6GMW	5	pam_canberra_13
BS_74G5K7JF	10	pam_canberra_13
BS_74GHJS7N	13	pam_canberra_13
BS_75YRDXET	7	pam_canberra_13
BS_769BDPDB	3	pam_canberra_13
BS_76DRXZRJ	4	pam_canberra_13
BS_77317DY4	9	pam_canberra_13
BS_775HDFNY	3	pam_canberra_13
BS_77CDMEY4	3	pam_canberra_13
BS_77SBTNPN	4	pam_canberra_13
BS_78QX3XDF	5	pam_canberra_13
BS_78SCX2N9	6	pam_canberra_13
BS_7APCGCVF	11	pam_canberra_13
BS_7ARDVFCP	4	pam_canberra_13
BS_7B89YR6K	1	pam_canberra_13
BS_7B9FZM3M	11	pam_canberra_13
BS_7BTZQKYY	10	pam_canberra_13
BS_7BW0YRPY	5	pam_canberra_13
BS_7C40TRCY	9	pam_canberra_13
BS_7FKE2YPB	10	pam_canberra_13
BS_7FWZ518S	9	pam_canberra_13
BS_7G42J2SK	10	pam_canberra_13
BS_7GJT4A6A	13	pam_canberra_13
BS_7GKWKGPH	12	pam_canberra_13
BS_7H4RFCW9	5	pam_canberra_13
BS_7JTW85T5	2	pam_canberra_13
BS_7M3FNSYK	4	pam_canberra_13
BS_7MGXMG6S	7	pam_canberra_13
BS_7N0B2CY1	1	pam_canberra_13
BS_7P83Z28P	3	pam_canberra_13
BS_7PER3D69	11	pam_canberra_13
BS_7PXAWDC9	13	pam_canberra_13
BS_7S6GNG04	5	pam_canberra_13
BS_7SMY657N	6	pam_canberra_13
BS_7T1J3KET	5	pam_canberra_13
BS_7WKNNRHK	2	pam_canberra_13
BS_7XKVHKMR	2	pam_canberra_13
BS_7XQRH69M	9	pam_canberra_13
BS_7XRN3CFX	1	pam_canberra_13
BS_7Z93ZYMS	3	pam_canberra_13
