Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_CQC29CK5	WGS	33	35984681	0.9170568998513562
BS_H0MVFRCE	WGS	24	35984681	0.6669504726191681
BS_THY6PFYF	WGS	9	35984681	0.25010642723218807
BS_2NPW3A08	WGS	11	35984681	0.3056856332837854
BS_PNF2SHN9	WGS	13	35984681	0.3612648393353827
BS_NX91DYXQ	WGS	14	35984681	0.3890544423611814
BS_8MJNDM75	WGS	18	35984681	0.5002128544643761
BS_WBTZK7A2	WGS	29	35984681	0.8058984877481614
BS_Y3KBY0FY	WGS	9	35984681	0.25010642723218807
BS_0TER803R	WGS	12	35984681	0.33347523630958403
BS_J6FPW4H0	WGS	59	35984681	1.6395865785221215
BS_6K2SSJ77	WGS	45	35984681	1.2505321361609403
BS_JV1GTZ1Q	WGS	9	35984681	0.25010642723218807
BS_Q4PTDFKS	WGS	7	35984681	0.1945272211805907
BS_MW0JYGG1	WGS	13	35984681	0.3612648393353827
BS_0T5A16N2	WGS	23	35984681	0.6391608695933695
BS_4GHFYCWZ	WGS	4	35984681	0.11115841210319469
BS_7BJQNVK8	WGS	4	35984681	0.11115841210319469
BS_GNETMRJF	WGS	8	35984681	0.22231682420638937
BS_3KPKZVGX	WGS	54	35984681	1.5006385633931283
BS_X8H38ZNB	WGS	14	35984681	0.3890544423611814
BS_GZ39V8AK	WGS	7	35984681	0.1945272211805907
BS_59BAHXTQ	WGS	9	35984681	0.25010642723218807
BS_TKRH7YW7	WGS	6	35984681	0.16673761815479202
BS_95PV1RRY	WGS	5	35984681	0.13894801512899335
BS_QWX24M4X	WGS	7	35984681	0.1945272211805907
BS_P5VHEN5Q	WGS	2	35984681	0.055579206051597344
BS_87J6X9KJ	WGS	380	35984681	10.560049149803495
BS_M0N8YXTA	WGS	7	35984681	0.1945272211805907
BS_TDV0SYNR	WGS	10	35984681	0.2778960302579867
BS_MMCZHZE6	WGS	8	35984681	0.22231682420638937
BS_QEKBZRMD	WGS	8	35984681	0.22231682420638937
BS_WKPJ7S74	WGS	18	35984681	0.5002128544643761
BS_S8Q6R8MX	WGS	6	35984681	0.16673761815479202
BS_FR9R7VFY	WGS	9	35984681	0.25010642723218807
BS_0QTY32QA	WGS	8	35984681	0.22231682420638937
BS_A527Y2QF	WGS	17	35984681	0.4724232514385774
BS_1HXG4A7B	WGS	6	35984681	0.16673761815479202
BS_A3K94FCY	WGS	5	35984681	0.13894801512899335
BS_YPKSF86W	WGS	11	35984681	0.3056856332837854
BS_PWXXZMSR	WGS	20	35984681	0.5557920605159734
BS_QSTNH2MJ	WGS	12	35984681	0.33347523630958403
BS_FSNCPJJF	WGS	10	35984681	0.2778960302579867
BS_GPXZ2NQB	WGS	9	35984681	0.25010642723218807
BS_76SQJSHP	WGS	10	35984681	0.2778960302579867
BS_SMJRCVQB	WGS	8	35984681	0.22231682420638937
BS_HQC1EKZ8	WGS	10	35984681	0.2778960302579867
BS_A2Z4DDQS	WGS	2	35984681	0.055579206051597344
BS_7HRQNWJY	WGS	16	35984681	0.44463364841277875
BS_25EXB29C	WGS	4	35984681	0.11115841210319469
BS_R66Z3ENM	WGS	3	35984681	0.08336880907739601
BS_1FR8GJ7N	WGS	14	35984681	0.3890544423611814
BS_QNQDTDCS	WGS	83	35984681	2.3065370511412895
BS_HZKJMB0D	WGS	5	35984681	0.13894801512899335
BS_8JTH2X5Z	WGS	8	35984681	0.22231682420638937
BS_588QYDB1	WGS	5	35984681	0.13894801512899335
BS_SSS5J8P5	WGS	28	35984681	0.7781088847223628
BS_NGBKDYFB	WGS	4	35984681	0.11115841210319469
BS_PDWEETXG	WGS	4	35984681	0.11115841210319469
BS_E7CRT00M	WGS	19	35984681	0.5280024574901747
BS_01BDZ0TW	WGS	31	35984681	0.8614776937997588
BS_WVMWHF4P	WGS	10	35984681	0.2778960302579867
BS_6S50RDHT	WGS	14	35984681	0.3890544423611814
BS_0Y4VHCMS	WGS	17	35984681	0.4724232514385774
BS_EDGSP4V6	WGS	4	35984681	0.11115841210319469
BS_SYQG48V0	WGS	6	35984681	0.16673761815479202
BS_STK02B14	WGS	71	35984681	1.9730618148317056
BS_G4W213NW	WGS	7	35984681	0.1945272211805907
BS_NNH2A86D	WGS	8	35984681	0.22231682420638937
BS_E4N511ZX	WGS	10	35984681	0.2778960302579867
BS_XX68G6KE	WGS	5	35984681	0.13894801512899335
BS_D9BP1QN2	WGS	10	35984681	0.2778960302579867
BS_ABZC437A	WGS	4	35984681	0.11115841210319469
BS_GBS4JMAZ	WGS	11	35984681	0.3056856332837854
BS_EXDY4JFF	WGS	7	35984681	0.1945272211805907
BS_6AENZKKA	WGS	5	35984681	0.13894801512899335
BS_HEP8QTNN	WGS	12	35984681	0.33347523630958403
BS_NB0ESCXK	WGS	46	35984681	1.278321739186739
BS_CQ40NN4X	WGS	22	35984681	0.6113712665675708
BS_ACDQRWMY	WGS	13	35984681	0.3612648393353827
BS_QZAV7XVF	WGS	22	35984681	0.6113712665675708
BS_B2RYV4GG	WGS	32	35984681	0.8892672968255575
BS_255803B6	WGS	7	35984681	0.1945272211805907
BS_P69A72G2	WGS	15	35984681	0.41684404538698006
BS_XDH1Y1TQ	WGS	20	35984681	0.5557920605159734
BS_K62HBS01	WGS	29	35984681	0.8058984877481614
BS_FXG6F3NN	WGS	9	35984681	0.25010642723218807
BS_X3AFTRNM	WGS	6	35984681	0.16673761815479202
BS_VCXG53E7	WGS	18	35984681	0.5002128544643761
BS_YTQ6Y7FQ	WGS	9	35984681	0.25010642723218807
BS_J8YAY1HM	WGS	28	35984681	0.7781088847223628
BS_K9P9N35B	WGS	1	35984681	0.027789603025798672
BS_WSD8PV27	WGS	31	35984681	0.8614776937997588
BS_CP8741SX	WGS	14	35984681	0.3890544423611814
BS_EE2YW499	WGS	45	35984681	1.2505321361609403
BS_T9KJYH7M	WGS	23	35984681	0.6391608695933695
BS_ZYXTC212	WGS	37	35984681	1.0282153119545507
BS_38SSRZJ1	WGS	11	35984681	0.3056856332837854
BS_9PEJSEZG	WGS	46	35984681	1.278321739186739
BS_P9FWPEYY	WGS	9	35984681	0.25010642723218807
BS_4D9SK48F	WGS	44	35984681	1.2227425331351416
BS_6FA0NNF1	WGS	150	35984681	4.168440453869801
BS_R0WH31Q0	WGS	17	35984681	0.4724232514385774
BS_BF83XX7P	WGS	28	35984681	0.7781088847223628
BS_55PH1SAS	WGS	16	35984681	0.44463364841277875
BS_S4R97RNZ	WGS	7	35984681	0.1945272211805907
BS_8DB19DYW	WGS	33	35984681	0.9170568998513562
BS_SXVVN52M	WGS	13	35984681	0.3612648393353827
BS_35DBPYMN	WGS	16	35984681	0.44463364841277875
BS_4J4MVGTR	WGS	11	35984681	0.3056856332837854
BS_1GQJVG9Q	WGS	42	35984681	1.1671633270835442
BS_H7T26DMD	WGS	3	35984681	0.08336880907739601
BS_BPXHZ3Y0	WGS	6	35984681	0.16673761815479202
BS_4VKRBRJC	WGS	51	35984681	1.4172697543157322
BS_A5AQFAFA	WGS	18	35984681	0.5002128544643761
BS_3AKS23A0	WGS	9	35984681	0.25010642723218807
BS_WRZATZQF	WGS	19	35984681	0.5280024574901747
BS_NK1FJNRG	WGS	18	35984681	0.5002128544643761
BS_YK9W04XG	WGS	7	35984681	0.1945272211805907
BS_7NXB23C9	WGS	5	35984681	0.13894801512899335
BS_JZFMHGNX	WGS	5	35984681	0.13894801512899335
BS_H915DJY3	WGS	12	35984681	0.33347523630958403
BS_E4V8XN3G	WGS	17	35984681	0.4724232514385774
BS_4WSW3X49	WGS	21	35984681	0.5835816635417721
BS_WCEHT7D0	WGS	9	35984681	0.25010642723218807
BS_GFN4FETJ	WGS	9	35984681	0.25010642723218807
BS_JXVVZ2S8	WGS	15	35984681	0.41684404538698006
BS_89V49XKJ	WGS	11	35984681	0.3056856332837854
BS_2P6MH05V	WGS	18	35984681	0.5002128544643761
BS_VKK21QBZ	WGS	7	35984681	0.1945272211805907
BS_XQC9PNZP	WGS	5	35984681	0.13894801512899335
BS_DAX3YVG0	WGS	13	35984681	0.3612648393353827
BS_T62SHZA7	WGS	10	35984681	0.2778960302579867
BS_K5DHTP34	WGS	2	35984681	0.055579206051597344
