Tumor_Sample_Barcode	experimental_strategy	mutation_count	region_size	tmb
BS_0Q8G4N8H	WGS	8	35984681	0.22231682420638937
BS_0QEBZX3M	WGS	2	35984681	0.055579206051597344
BS_0QESMKKG	WGS	2	35984681	0.055579206051597344
BS_0QTY32QA	WGS	7	35984681	0.1945272211805907
BS_0RBGK29M	WGS	39	35984681	1.0837945180061481
BS_0RF0G9SQ	WGS	15	35984681	0.41684404538698006
BS_0RTP9JV1	WGS	44	35984681	1.2227425331351416
BS_0S617SMM	WGS	1143	35984681	31.763516258487883
BS_0SFXXBQ5	WGS	6	35984681	0.16673761815479202
BS_0SYB7ZZ0	WGS	2	35984681	0.055579206051597344
BS_0T5A16N2	WGS	24	35984681	0.6669504726191681
BS_0TBBTWJS	WGS	12	35984681	0.33347523630958403
BS_0TER803R	WGS	14	35984681	0.3890544423611814
BS_0W8AWY10	WGS	25	35984681	0.6947400756449668
BS_0XCCXBKP	WGS	6	35984681	0.16673761815479202
BS_0XD58YD9	WGS	3	35984681	0.08336880907739601
BS_0XR7GYAV	WGS	9	35984681	0.25010642723218807
BS_0Y4VHCMS	WGS	18	35984681	0.5002128544643761
BS_0YVR8Q4E	WGS	9	35984681	0.25010642723218807
BS_0YWFFRYV	WGS	4	35984681	0.11115841210319469
BS_0ZR4XA69	WGS	20	35984681	0.5557920605159734
BS_0ZRDBX5X	WGS	5	35984681	0.13894801512899335
BS_104JAZ50	WGS	9	35984681	0.25010642723218807
BS_10AD3EFX	WGS	26	35984681	0.7225296786707655
BS_10HD18B8	WGS	35	35984681	0.9726361059029535
BS_10TK5K3B	WGS	5	35984681	0.13894801512899335
BS_10V9SAG8	WGS	29	35984681	0.8058984877481614
BS_110K2FF7	WGS	8	35984681	0.22231682420638937
BS_11322HD1	WGS	3	35984681	0.08336880907739601
BS_1135HC0V	WGS	31	35984681	0.8614776937997588
BS_11PGDQ89	WGS	60	35984681	1.6673761815479202
BS_12BB065J	WGS	5	35984681	0.13894801512899335
BS_12BR3X2V	WGS	3	35984681	0.08336880907739601
BS_12ZB7R6A	WGS	12	35984681	0.33347523630958403
BS_14ANJZNN	WGS	7	35984681	0.1945272211805907
BS_14P5D735	WGS	1	35984681	0.027789603025798672
BS_14PEVAHC	WGS	53	35984681	1.4728489603673296
BS_154FP4ZQ	WGS	12	35984681	0.33347523630958403
BS_154HZX0A	WGS	2	35984681	0.055579206051597344
BS_15BAPZBP	WGS	82	35984681	2.278747448115491
BS_15X5P6F2	WGS	52	35984681	1.445059357341531
BS_164KRQJ0	WGS	27	35984681	0.7503192816965641
BS_169P1QCA	WGS	24	35984681	0.6669504726191681
BS_16FT8V4B	WGS	12	35984681	0.33347523630958403
BS_16TBX6G5	WGS	12	35984681	0.33347523630958403
BS_1790XKNY	WGS	8	35984681	0.22231682420638937
BS_17AXPP1Y	WGS	18	35984681	0.5002128544643761
BS_17FVWMNV	WGS	5	35984681	0.13894801512899335
BS_185Q218S	WGS	26	35984681	0.7225296786707655
BS_18NCV5QZ	WGS	38	35984681	1.0560049149803494
BS_18RH1034	WGS	769	35984681	21.370204726839177
BS_196W36QM	WGS	7	35984681	0.1945272211805907
BS_19EJ85F8	WGS	60	35984681	1.6673761815479202
BS_1A406WSZ	WGS	21	35984681	0.5835816635417721
BS_1AMAP96X	WGS	4	35984681	0.11115841210319469
BS_1AZ8YJSH	WGS	6	35984681	0.16673761815479202
BS_1B4Q7CNG	WGS	11	35984681	0.3056856332837854
BS_1BR81RGD	WGS	12	35984681	0.33347523630958403
BS_1C4WCNQF	WGS	29	35984681	0.8058984877481614
BS_1C5Y79HZ	WGS	3	35984681	0.08336880907739601
BS_1CZPVCXR	WGS	141	35984681	3.9183340266376128
BS_1DA3F1K1	WGS	28	35984681	0.7781088847223628
BS_1EJ50B5A	WGS	98	35984681	2.7233810965282697
BS_1EQGGHHQ	WGS	25	35984681	0.6947400756449668
BS_1EYKDS0Z	WGS	19	35984681	0.5280024574901747
BS_1FQGP0PB	WGS	11	35984681	0.3056856332837854
BS_1FR8GJ7N	WGS	17	35984681	0.4724232514385774
BS_1FW0H2V1	WGS	11	35984681	0.3056856332837854
BS_1G3QX306	WGS	5	35984681	0.13894801512899335
BS_1G5N5R8S	WGS	9	35984681	0.25010642723218807
BS_1G970A7S	WGS	10	35984681	0.2778960302579867
BS_1GFA9NF0	WGS	21	35984681	0.5835816635417721
BS_1GK2EMFY	WGS	12	35984681	0.33347523630958403
BS_1GQJVG9Q	WGS	41	35984681	1.1393737240577455
BS_1HXG4A7B	WGS	7	35984681	0.1945272211805907
BS_1JGQPJH3	WGS	3614	35984681	100.43162533523639
BS_1JMTTKMK	WGS	31	35984681	0.8614776937997588
BS_1JZ5DPVB	WGS	6	35984681	0.16673761815479202
BS_1K0J0CTG	WGS	5	35984681	0.13894801512899335
BS_1K6WJ1D3	WGS	30	35984681	0.8336880907739601
BS_1KMVTHES	WGS	24	35984681	0.6669504726191681
BS_1KP6JADZ	WGS	15	35984681	0.41684404538698006
BS_1M63B97V	WGS	70	35984681	1.945272211805907
BS_1M9R70FP	WGS	28	35984681	0.7781088847223628
BS_1MME7FBS	WGS	25	35984681	0.6947400756449668
BS_1MVG9BF0	WGS	3	35984681	0.08336880907739601
BS_1P4J21PN	WGS	13	35984681	0.3612648393353827
BS_1Q524P3B	WGS	41	35984681	1.1393737240577455
BS_1QRW0M8X	WGS	6	35984681	0.16673761815479202
BS_1RF75MK2	WGS	20	35984681	0.5557920605159734
BS_1RFBH1SP	WGS	27	35984681	0.7503192816965641
BS_1RS20EMZ	WGS	3	35984681	0.08336880907739601
BS_1S2BHJ8K	WGS	191	35984681	5.307814177927546
BS_1S5V7WWC	WGS	27	35984681	0.7503192816965641
BS_1SV5KG4Y	WGS	122	35984681	3.390331569147438
BS_1VC0YAGC	WGS	35	35984681	0.9726361059029535
BS_1VMBA3BN	WGS	7	35984681	0.1945272211805907
BS_1WC7MCRT	WGS	59	35984681	1.6395865785221215
BS_1XSM0T7R	WGS	29	35984681	0.8058984877481614
BS_1Y7E3173	WGS	12	35984681	0.33347523630958403
BS_1YD0ZQ4R	WGS	6	35984681	0.16673761815479202
BS_1YTHM07J	WGS	7	35984681	0.1945272211805907
BS_209RV8H2	WGS	48	35984681	1.3339009452383361
BS_20HSXMYQ	WGS	7	35984681	0.1945272211805907
BS_20MPB99Y	WGS	7	35984681	0.1945272211805907
BS_20TBZG09	WGS	12661	35984681	351.84416390963696
BS_20X874J5	WGS	10	35984681	0.2778960302579867
BS_2296JPP5	WGS	58	35984681	1.6117969754963228
BS_229FZNM7	WGS	2	35984681	0.055579206051597344
BS_22VCR7DF	WGS	59	35984681	1.6395865785221215
BS_22WVSVNE	WGS	9	35984681	0.25010642723218807
BS_230S192D	WGS	36	35984681	1.0004257089287523
BS_233JPDBD	WGS	18	35984681	0.5002128544643761
BS_235QEYMQ	WGS	49	35984681	1.3616905482641348
BS_23ZE42Q3	WGS	29	35984681	0.8058984877481614
BS_245CTSH9	WGS	18	35984681	0.5002128544643761
BS_24VRW8WX	WGS	10	35984681	0.2778960302579867
BS_2540A7TN	WGS	1	35984681	0.027789603025798672
