Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000278254	2.3913928677692478	6.407027173642166	15.813215907310521	5.4367595618190185e-52	4.367217723881864e-50	107.33707653216544
APEX1	1.0523230571240927	12.439268555914468	15.784526294562177	8.004556906537551e-52	6.320886547043805e-50	106.95285326333496
TULP1	2.3250159794595673	6.188775765347625	15.740517617299103	1.4475282003365578e-51	1.1240056475613372e-49	106.36441983223958
GRIA3	-3.193080800375848	10.630076686761448	-15.701513411654467	2.4447925654695277e-51	1.8672604200856607e-49	105.84386334208224
TRAPPC12	-1.1425045848835889	11.185164473932728	-15.690601521541105	2.830412532974683e-51	2.12691806308533e-49	105.69839378875832
GSG1	1.8615647822637773	5.9718242478765795	15.65603301731916	4.499390347275895e-51	3.327406290152126e-49	105.2380204551969
RNF213	-1.8246282033937165	13.268426576057044	-15.571693712575016	1.389919826611438e-50	1.0118181987785453e-48	104.1178163683173
VDAC3	1.070596104137786	11.678958666797834	15.54964123140914	1.865364991012714e-50	1.337036229712036e-48	103.82561738745287
ADGRA1	-3.0871745990821315	9.121538828992756	-15.534201927984673	2.2916331529269465e-50	1.6176846756797945e-48	103.62121837077731
NCAPG	2.6489331427934815	8.650356339333115	15.504733089890154	3.3929188505252618e-50	2.3593446156115214e-48	103.23148310639607
MEAF6	0.8479243260786986	11.215926746842685	15.483695313172491	4.488520915212387e-50	3.075296903525663e-48	102.95357227701601
SUSD3	-1.5306858799238485	7.412219382369514	-15.465460676581085	5.71934484091897e-50	3.861801103455287e-48	102.71290770847384
SYCE2	0.8395705920713371	6.350546791638985	15.414264273575156	1.1281458939077432e-49	7.50861674245168e-48	102.03828373937748
TOP2A	3.6082167423880236	10.718767215897186	15.400713174240398	1.3500135615116094e-49	8.858750962088152e-48	101.85998482166264
CHGA	3.8625706662718726	8.523526295868447	15.367451171307803	2.0966324943624026e-49	1.3566959432270047e-47	101.42281277869665
KIF2C	2.253640381592506	8.676734929344718	15.313136543550243	4.2962126359465496e-49	2.7419252973801335e-47	100.71038982927294
SKI	-1.4646900016183155	12.58891468423451	-15.271704031063893	7.417014688990027e-49	4.669712356216829e-47	100.16814877253881
PAX5	2.2308981895306976	6.526520575527832	15.268418886958933	7.744841531900164e-49	4.811095559616382e-47	100.12519999097009
CBX1	2.273230083005805	12.111091580817115	15.184025912056073	2.3472585537598483e-48	1.438931263416728e-46	99.02414918605447
DPH5	0.9374496269798508	9.950962266131953	15.161830105968859	3.139753690378341e-48	1.899754862788661e-46	98.73529511373309
EXOSC8	0.9491100011382435	9.870154304904178	15.108506216992346	6.307650106283492e-48	3.767607928868563e-46	98.04258686631619
RPS11	1.6840538967588976	14.84533102619462	15.097882113069137	7.246694144837282e-48	4.27371493934138e-46	97.90478379185797
ANTKMT	-2.022632950829561	8.774460673891744	-15.009708040932468	2.28663193375321e-47	1.315947286845337e-45	96.7637997769215
CKAP2L	2.3884685362751292	8.308117711831226	15.009666515426689	2.2878671439036765e-47	1.315947286845337e-45	96.76326357074811
ARR3	0.653135720682629	5.401347049237458	14.982327554666712	3.263931080497412e-47	1.8544701102484688e-45	96.41047728761018
ENSG00000229770	0.7821108110946898	5.843056814312559	14.975468770848872	3.56798129874544e-47	2.0027981772114465e-45	96.32204363010271
VTN	1.8520425759746217	6.6521474194452965	14.968513983043547	3.9051040823235565e-47	2.1659380856601725e-45	96.23240214359637
KIF15	2.0425799554751505	8.803810627630423	14.965527316192611	4.059447951222594e-47	2.22505505938189e-45	96.1939157421576
LINC01558	0.918338272776326	5.857837677004793	14.93580847895038	5.968234586728342e-47	3.2332563883217846e-45	95.8112605375521
OLA1	1.219439757085941	11.401907863788729	14.931875008293675	6.280317392239816e-47	3.3632182448787703e-45	95.76065518210177
ENSG00000265179	1.6799965909038799	6.072545050296293	14.912858224668492	8.034149093865212e-47	4.253534162308866e-45	95.51613487726678
SPAG5	2.1308530837029047	9.369952081226721	14.877518648734851	1.268947697354221e-46	6.642727328059905e-45	95.06233628957582
SRRM4	3.5941529189247956	8.459354251844728	14.869516008099792	1.4071738642217966e-46	7.2844700371215e-45	94.95968257926077
SHOX2	2.5207486892431583	6.60284834248633	14.842169389885138	2.002913982356429e-46	1.0254479388789672e-44	94.60919833176345
PTPRR	2.6053372358536206	7.0756678325402955	14.78699415237724	4.077303806270717e-46	2.064799829719051e-44	93.90348658946044
CBLN1	3.110290646048603	7.937858301215231	14.782582806260299	4.3153804617904506e-46	2.1618664055356676e-44	93.8471467850029
FAM72B	1.2051230550690817	7.193739609228452	14.770415024343235	5.046292616803841e-46	2.5011358831584144e-44	93.69180888963947
NGDN	0.8609792338291383	10.138683500334622	14.742276807086363	7.243701637519907e-46	3.552463782021605e-44	93.3329459207252
MND1	1.4031386582076841	6.653630658150404	14.727229670710143	8.78662674601439e-46	4.2642597926751086e-44	93.14124685934195
FAT3	-2.819933815974929	11.954151630353165	-14.713155864334817	1.05245361586074e-45	5.055032367314627e-44	92.96207786385915
CCT2	1.0124907367695613	12.480941007079307	14.678645834115802	1.637450854791464e-45	7.784575033136153e-44	92.52327427433215
ENSG00000269985	0.9277526452520861	5.730150424945589	14.677411179516662	1.663527904497353e-45	7.828663138437544e-44	92.50758935893109
MRPS23	0.8455555317985426	10.880155333603541	14.660315113361577	2.070148204721547e-45	9.644820485797688e-44	92.29050251659581
GABRG2	3.4858169699998687	7.853770040661626	14.614998013681173	3.692796255748843e-45	1.7034393817360257e-43	91.71596424495124
ZC3H15	0.7882801295582125	11.214029807584465	14.606939908682714	4.092519350784709e-45	1.869318397579016e-43	91.61393934410737
DDX1	0.9969949296977438	12.387666846298847	14.53479605139764	1.0252010502597732e-44	4.637292905980858e-43	90.70236520442177
MCTS1	0.998958409020125	10.145087918283654	14.5128606185794	1.3545162074431655e-44	6.0679721254593346e-43	90.4258611917885
UBE2C	2.4840308366174337	8.408152348877067	14.49198075991053	1.7652800666119957e-44	7.832799838424084e-43	90.16295019676451
ENY2	0.9879006025874301	10.770404186998283	14.485223711513271	1.9231491247912375e-44	8.452784690945638e-43	90.07792812990544
EPHA8	2.905103260456324	6.740077041453039	14.478560418435404	2.0925879195221854e-44	9.111558053321367e-43	89.99411452943184
SNRPE	1.5197943268626655	10.350087852398046	14.417262788485981	4.544105211634951e-44	1.960276498241411e-42	89.22443032836529
MED12L	-1.8812793889085415	9.652257942781953	-14.364870311982214	8.799473496748607e-44	3.761169451500162e-42	88.568487545713
NCAPH	1.9867656806724288	8.332033475215164	14.3391584694058	1.2162588019623436e-43	5.151408871220508e-42	88.24723107981595
TIMM9	0.9323378008984542	9.565532711581442	14.316842720760544	1.610193544193671e-43	6.758461011169653e-42	87.96875489344907
ZMAT3	-1.9356341418025271	12.171274829294054	-14.315891082277028	1.6295633998786425e-43	6.778692750030888e-42	87.95688667622795
NFIC	-1.5493680402736347	13.01977338427113	-14.30904833286074	1.7758459610795512e-43	7.321828612981974e-42	87.87156568384725
IER3IP1	1.2130630985933035	9.905745058343829	14.292096844368158	2.1970293603266243e-43	8.978912096282232e-42	87.6603318312419
TMEM259	-1.1890940882238892	11.940958082291203	-14.238885809458397	4.280073976714738e-43	1.733988231088171e-41	86.99848075226134
FBXL21P	2.0894328995425155	6.422225516726221	14.23569941440805	4.454190046743408e-43	1.7889716748084084e-41	86.95890624818313
HNRNPA2B1	1.1769683170056753	14.747935027555164	14.233211517589305	4.5950263763848614e-43	1.8297630673142793e-41	86.92801158715551
GNAT1	1.6552204497595129	6.003035972554177	14.223233492131913	5.205844201337366e-43	2.0554261130534566e-41	86.80414526127566
ENSG00000224905	0.9518185670863212	6.683670983425459	14.202405031563865	6.753764901283114e-43	2.6441840903426916e-41	86.5457923086729
BATF3	-1.3952343928203264	7.316377633299858	-14.175489815384852	9.450551853177827e-43	3.6691767569962914e-41	86.21236066723813
IGF2BP2	-2.517961465241045	9.435504871886053	-14.151785294636447	1.2699678803195762e-42	4.889901119346203e-41	85.9190970009208
EOMES	3.1938042368488593	7.234313757123868	14.13895565032101	1.4899975383095767e-42	5.6900807631019e-41	85.76052710500497
SNRPF	1.2269602604212646	10.122000671077735	14.131093218809644	1.6431933471828917e-42	6.22409577603666e-41	85.6634036344451
ASGR2	-0.7834924829045936	6.267230823808233	-14.084433941678213	2.9346748164807805e-42	1.1026330620954804e-40	85.08786480354308
SAG	1.4663790924050022	5.731217710126543	14.077384573317568	3.20301718277541e-42	1.1938285643640509e-40	85.00103598393972
CCNA2	2.0423909849449564	8.560874365469784	14.0747731817082	3.308508503542302e-42	1.2233604061907608e-40	84.96887913913304
ZNF492	1.3339120735052383	6.703377251816168	14.060646426920748	3.9421096018890486e-42	1.4461644594646517e-40	84.79499932751298
ELSPBP1	0.9347151208291521	5.543311881315079	14.039335213728826	5.133550453722854e-42	1.8685321534292794e-40	84.53293845800673
ERCC6L	1.6164162045584942	7.1016430172041165	14.025248342145604	6.111629351901734e-42	2.20729311244265e-40	84.35987894192607
SLC16A11	-1.2147115402138093	6.815604574936607	-14.018295565436784	6.660675141763237e-42	2.3870834988826862e-40	84.27451129646161
ENSG00000226197	0.9697724534384179	5.784670313437374	13.98806038966096	9.678950942950842e-42	3.442307820092212e-40	83.90364949905089
CYP2J2	-2.188759268197008	8.560800698810668	-13.972816785999116	1.1683165175336243e-41	4.123626253931179e-40	83.7169025049433
MMADHC	1.0820056350356886	10.897513332898459	13.959403034474644	1.3785624567858042e-41	4.829114651251926e-40	83.55270019775685
LINC01220	-0.7845711117667631	6.3612150611395695	-13.943771966126516	1.671501620529146e-41	5.8115866045114114e-40	83.36150562034209
TPRKB	1.1408733987457442	9.123297498488443	13.93991112080172	1.7529312863702532e-41	6.049560639406674e-40	83.31430589845453
OLFM3	2.3713706522040203	7.02284405616168	13.938454967927568	1.7846586725750132e-41	6.113768202593373e-40	83.29650666671239
NTF3	1.9509544538597252	6.598544344514906	13.914390668264254	2.3999850894236656e-41	8.161701117974349e-40	83.00256170186617
PAIP1	0.817906332941563	11.661960281418551	13.884610058238382	3.460923282636905e-41	1.1684377952032855e-39	82.63932567022863
FOXN4	1.9025825205287696	6.7072070999439495	13.86908471465194	4.1876705904000307e-41	1.4036228259477511e-39	82.45019640403584
LEMD1	1.795161338731606	6.473819731095829	13.848546996906116	5.387310638365889e-41	1.79282001886762e-39	82.20025363038812
ATP6V1G1	0.9840014774091749	11.676461008402503	13.815675871429574	8.057774375387212e-41	2.662494384037519e-39	81.80080048297162
LINC01202	0.8918578011923123	5.565397404367158	13.807501197452025	8.905290098031642e-41	2.9218131385020716e-39	81.70157325640733
AJM1	-2.3264537732943227	9.113578373372455	-13.798779828305626	9.907506573032584e-41	3.227907211451665e-39	81.59575936903869
CACNG8	-2.6833703382587846	9.147089197333269	-13.791462929202805	1.0834403411493567e-40	3.505380937093648e-39	81.50702481812223
LINC02910	-0.8053753593733709	6.307165277376945	-13.769812492148494	1.411374126280749e-40	4.534891071960007e-39	81.24467271452875
OSMR-DT	-1.0674739245895777	6.540859703446139	-13.759490180087184	1.6008306239463992e-40	5.1084040253193656e-39	81.11970139243982
FAAP20	-1.319918492526232	10.080276877422566	-13.713471330658017	2.804441757757044e-40	8.888363366932018e-39	80.563426135751655
FAM72C	1.2105199122204349	6.5772469745035345	13.702153265988871	3.2183978063727144e-40	1.0131429310736808e-38	80.42683177372558
MIR223HG	-1.4638625708903885	7.161191075888981	-13.692655477273826	3.612332603868071e-40	1.1295206443906942e-38	80.31227235943354
GLOD4	0.7980225268874159	11.097605030971511	13.66216707325022	5.2310377539878046e-40	1.624760326388612e-38	79.94494152144091
PFDN4	1.5015505489200782	9.189785914447842	13.658278136471498	5.4837690686709775e-40	1.6919788139694097e-38	79.89813187820792
ERBB3	-3.174907263988794	10.070568899405552	-13.646778547886278	6.304434352982934e-40	1.9323920822728612e-38	79.7597754842111
CLEC17A	-1.5384361143562233	6.962811147899423	-13.628878693283527	7.831513226545002e-40	2.3847725570243897e-38	79.54459259347658
CACNA1F	1.6415559423573218	6.486352257758815	13.608212166254857	1.0057466520353289e-39	3.0427101635276605e-38	79.29641972582428
ASAH2B	1.3205466811878348	8.397424454694317	13.59570963535057	1.1699117592103819e-39	3.5165283136523674e-38	79.14642414062541
DMWD	-1.3636453687496641	11.18972930616211	-13.587822772546092	1.2869217240080249e-39	3.8434412257393516e-38	79.05185820742156
MCM10	2.0474592742286464	7.942052070842831	13.56738655876803	1.6471732838340782e-39	4.888012948651573e-38	78.80701789610976
HNRNPA1	1.83730354260359	15.075784524364462	13.555291165896387	1.9059936952561117e-39	5.62026875075837e-38	78.6622400282792
PRR7	-1.9912869606517722	8.231396792318124	-13.553052071113768	1.9581683850733897e-39	5.737802833998065e-38	78.63544969832026
SAMD3	1.6891865190438113	6.6337371487013925	13.540636805266763	2.27434097327154e-39	6.622596621545066e-38	78.48696527738281
ST8SIA2	2.9618780316884936	7.968613464850443	13.519453651433896	2.935382241918599e-39	8.494376313725934e-38	78.23386035799629
ORC1	1.4928755936961484	7.590487997295587	13.506062067269365	3.4486408411823556e-39	9.91803560436333e-38	78.07400979321204
TMEM52B	-1.2053214976902042	6.9829212233036335	-13.50006122417688	3.706728272634953e-39	1.0594875473746163e-37	78.00241948892278
RRM2	2.4226673409023545	9.08993510001978	13.496623765073625	3.8631363887265174e-39	1.097460514333954e-37	77.96142151135922
MED4	0.9582686888634621	10.4812489360301	13.473150322981526	5.121741534377733e-39	1.4461935641615672e-37	77.68167313575512
PEAK3	-1.2718126928240865	6.778362007315606	-13.459432862730909	6.038320904868041e-39	1.6947311503482052e-37	77.5183671860122
EPN1	-1.2667217952923953	12.032103328176373	-13.426444463140683	8.9666836626078e-39	2.501543663717949e-37	77.12616748220739
HNRNPC	1.3948695556742337	14.15912507216207	13.40644467662633	1.1391497712348698e-38	3.1591064191567014e-37	76.88875201835322
FAM138D	0.5530314406146978	5.414308707420996	13.403402060653123	1.1813659968314413e-38	3.256795372329991e-37	76.85265742692599
PSMD14	0.9280118843764535	11.362215621432721	13.39659627468063	1.2815172349314737e-38	3.512111057379845e-37	76.77194325823302
CD24	3.898932307101246	10.45551392936886	13.396026902691574	1.2902693251919685e-38	3.515418003549346e-37	76.76519215010947
ETV7	-1.147487965323756	6.804526934683001	-13.389338592314896	1.3976417313309164e-38	3.785821410622523e-37	76.68590472933639
TMEM244	0.7241108481930836	5.511166701684024	13.375125319473804	1.656248304975057e-38	4.460381995883694e-37	76.5175135225748
CMYA5	-2.5947698136043553	9.919450080984689	-13.359600153567632	1.9933881919884082e-38	5.337468727858617e-37	76.33373807849807
NCBP2	0.9167973463198388	11.936626968219956	13.353433354817819	2.1455288535534516e-38	5.71201081640316e-37	76.26078598575836
DRG1	0.7331321996361525	11.017192737867877	13.334787580651334	2.679452997889823e-38	7.092938362027663e-37	76.04036883048252
VAC14-AS1	-1.4433242435438984	7.117934220915731	-13.323817907291398	3.0533575220469925e-38	8.037058019896575e-37	75.91080477497684
DTL	2.1705358403460253	8.538466433527141	13.317863766605926	3.2775967938882635e-38	8.578833406025517e-37	75.840514402645
SV2B	3.6330248380097916	8.80336737923968	13.306097440647834	3.7700444042694893e-38	9.812646301391927e-37	75.70168123521458
GAL3ST1	-2.2546844243561774	8.027948557847433	-13.299789245429936	4.06369318050091e-38	1.0518192515529856e-36	75.62728886733444
LINC00632	-3.72975538083046	12.894604543260451	-13.293632766804166	4.3722047852416425e-38	1.1229835913132552e-36	75.55471212015007
HNRNPA3	1.4851299362634784	13.53349744820987	13.293351505745687	4.386842962417095e-38	1.1229835913132552e-36	75.55139704776289
PSORS1C1	-1.3421929984522076	6.991463809653435	-13.263453467234076	6.256362959766554e-38	1.592808471560239e-36	75.19931605666426
PSMC6	0.9640583076961274	11.164867836521505	13.193063031103234	1.439587877751309e-37	3.645130392632255e-36	74.37283245463965
LINC02282	1.150257619471863	5.8844624926870255	13.185672374685963	1.57091139180434e-37	3.956149283468335e-36	74.28625459487836
FAM98B	1.0859706762033032	10.987883296340012	13.151239988513034	2.3581502397795836e-37	5.9067860038349885e-36	73.88339570692654
EXO1	1.8658567930900412	7.879715114091496	13.150637281490859	2.374960384293309e-37	5.917080444076217e-36	73.8763513632905
UBE2N	1.2073574679806691	11.823629258479201	13.110690048568877	3.800837474445015e-37	9.398464207339472e-36	73.41001738734337
USH2A	2.2682633661654608	6.939932062941014	13.110426316989905	3.812641629506676e-37	9.398464207339472e-36	73.40694233909176
SVOP	2.771262199071456	7.875917136103879	13.08672937252043	5.036672506670469e-37	1.2350451162409323e-35	73.13083922332109
HPF1	1.0477231566601481	9.679619619404907	13.073075326169024	5.912063177182864e-37	1.4421100702876944e-35	72.97192784357276
ENSG00000267248	1.0886193646454378	6.9200750355507346	13.058508097659765	7.01337432027031e-37	1.694487587169522e-35	72.80253184317749
KIF23	1.9403710655018174	8.461063813032084	13.058434241498349	7.019448472284133e-37	1.694487587169522e-35	72.80167337910939
TMEM233	1.9859194407982022	6.8599126997590165	13.048216607687731	7.912266914368373e-37	1.9001676058784666e-35	72.68294583723912
LINC01363	0.4364230489158689	5.424200836640025	13.044422319154265	8.271841294044597e-37	1.9763337737925014e-35	72.63887527375832
C4orf48	-2.3414983866243593	8.448456865598997	-13.04305933440512	8.404938402050471e-37	1.9978881640384256e-35	72.62304669605939
TPX2	2.1283778112800893	9.892966351478417	13.034241616060127	9.318997694386574e-37	2.2039193024440123e-35	72.5206763681735
ENSG00000258776	0.8174750309710095	5.5278934045395465	13.033564929177107	9.39309953070592e-37	2.2102247835130748e-35	72.51282253789174
HES4	-2.286823462269464	8.574173176045017	-13.029724741685895	9.824866598091961e-37	2.300203692487962e-35	72.4682582359556
PCNX2	-1.5066360048431535	10.842804935265324	-13.014925135432255	1.1681643281596436e-36	2.72123880244789e-35	72.29660939016813
SLC25A17	0.9021159152396095	10.004863751153074	12.952039399544516	2.4333496884900373e-36	5.640286666007504e-35	71.56895831912874
ROCK1P1	0.9276137398537275	6.693631707220611	12.949436882979562	2.5082341993439644e-36	5.785080759774024e-35	71.53890435118228
LINC01915	0.9639650623869336	5.833821438816864	12.943024983096239	2.7026561026178855e-36	6.202795459160949e-35	71.46487976128802
JKAMP	0.9404442326745234	10.783575231266079	12.93926380764125	2.8236048131385805e-36	6.448615110006199e-35	71.42147089322307
RNF157-AS1	-1.0947326429085145	6.929501454162848	-12.909607510287104	3.98629183478379e-36	9.059577394272038e-35	71.07954682926507
ST18	3.1281087583515066	8.674475912544722	12.89008580052243	5.000442495747576e-36	1.1309253197906776e-34	70.85480779722974
HMBOX1	-1.52546370840542	10.846113719614964	-12.880525352650809	5.586956114516901e-36	1.257469977658659e-34	70.74484332208587
HGF	-1.9194608511436013	8.932664600537617	-12.866106004999208	6.603424924346888e-36	1.4775322661361788e-34	70.57911352616605
MIR124-1HG	2.7270648363702983	8.122692712722522	12.865783821484676	6.628122850879188e-36	1.4775322661361788e-34	70.57541216147638
C10orf90	-2.230100635946962	8.089985491885402	-12.860474322955415	7.048629210338599e-36	1.5637887376651207e-34	70.51442520235682
MRPL1	1.005379389026256	9.352977842716404	12.854671243775286	7.538628624742932e-36	1.6645720740605366e-34	70.44779153188131
SNRPD2	1.2310601958653136	11.899352613730453	12.828515710886887	1.0202793849591753e-35	2.2422083276060366e-34	70.14775651627568
TP53TG3D	1.2429230799301263	6.430624495868383	12.822213150338607	1.0973801901388449e-35	2.400325965191023e-34	70.0755309212781
MPP4	1.3366104937090262	6.299517297714112	12.777612085385476	1.8361224079671996e-35	3.997427242392142e-34	69.5652181177835
P2RY12	-2.506318297014733	9.40378837342833	-12.772073944996539	1.9571171589294115e-35	4.2410273690475016e-34	69.50195059057668
PATL2	-0.7898396557718425	6.526211042630819	-12.742354717277884	2.755395532901876e-35	5.943235086939741e-34	69.16281065407756
AZI2	0.6603600300700028	10.962985299775728	12.736925833132709	2.9328768826269316e-35	6.296900182561693e-34	69.10092683364925
RLBP1	-1.6624845759691846	7.460802324957594	-12.721322851500886	3.508804306461584e-35	7.498862047616752e-34	68.92318507006553
LOXL1-AS1	1.4438308053355855	7.2638303807550635	12.703340571385178	4.313258220113616e-35	9.176013720323898e-34	68.71855408887987
ASB15	0.5096763564633773	5.418915335670788	12.702018186702551	4.379191809498529e-35	9.27393392747893e-34	68.70351497043069
CBARP	-1.9980362917656358	9.118062811500103	-12.700510052505528	4.4556111271835624e-35	9.393073412465257e-34	68.68636489216951
RPGRIP1	2.0343880875104623	6.941900110357411	12.684996465897349	5.322960028674155e-35	1.1171022870987789e-33	68.5100427090118
RPL3L	0.7777362097728167	5.563809592933578	12.679982967643388	5.637685094236205e-35	1.1778464060110529e-33	68.45309761578287
