gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
ENSG00000004948.16_CALCR	0.00	0.00	7.00	0.00	5.00	2.00
ENSG00000004961.15_HCCS	2082.00	2727.00	2666.00	2153.00	2187.00	2234.00
ENSG00000004975.12_DVL2	3992.00	4412.00	5019.00	3553.00	3784.00	4149.00
ENSG00000005001.10_PRSS22	3.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005007.13_UPF1	6751.00	7047.00	8105.00	7799.00	8350.00	9414.00
ENSG00000005020.13_SKAP2	961.00	1217.00	1282.00	746.00	862.00	896.00
ENSG00000005022.6_SLC25A5	12738.00	15255.00	16505.00	10204.00	11129.00	12450.00
ENSG00000005059.16_MCUB	2245.00	2672.00	2924.00	1601.00	1736.00	1720.00
ENSG00000005073.6_HOXA11	1.00	3.00	0.00	0.00	0.00	0.00
ENSG00000005075.16_POLR2J	4319.73	4840.67	5362.48	3015.48	3176.38	3961.12
ENSG00000005100.13_DHX33	8768.00	10039.00	11015.00	7867.00	8453.00	9072.00
ENSG00000005102.14_MEOX1	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005108.17_THSD7A	68.00	36.00	51.00	52.00	74.00	73.00
ENSG00000005156.12_LIG3	6791.00	7931.00	8469.00	5462.00	5842.00	6054.00
ENSG00000005175.10_RPAP3	3036.00	3626.00	3940.00	2148.00	2500.00	2536.00
ENSG00000005187.12_ACSM3	47.00	31.00	36.00	31.00	21.00	24.00
ENSG00000005189.20_REXO5	587.00	502.00	547.00	323.00	372.00	404.00
ENSG00000005194.15_CIAPIN1	3553.00	4101.00	4488.00	2845.00	3194.00	3413.00
ENSG00000005206.17_SPPL2B	3159.00	3629.00	3941.00	3337.00	3670.00	4035.00
ENSG00000005238.20_FAM214B	3045.00	3406.00	3592.00	1567.00	1580.00	1717.00
ENSG00000005243.10_COPZ2	209.00	241.00	233.00	108.00	125.00	163.00
ENSG00000005249.13_PRKAR2B	3599.00	4393.00	4441.00	1977.00	2224.00	2369.00
ENSG00000005302.19_MSL3	2981.00	3235.00	3773.00	2018.00	2240.00	2463.00
ENSG00000005339.15_CREBBP	30409.00	30386.00	33105.00	27259.00	29540.00	28392.00
ENSG00000005379.17_TSPOAP1	203.00	249.00	290.00	124.00	111.00	110.00
ENSG00000005381.8_MPO	0.00	2.00	0.00	1.00	2.00	0.00
ENSG00000005421.9_PON1	23.00	36.00	29.00	6.00	12.00	6.00
ENSG00000005436.14_GCFC2	3355.00	4358.00	4451.00	3223.00	3411.00	3431.00
ENSG00000005448.17_WDR54	2173.00	2350.00	2935.00	1817.00	2222.00	2422.00
ENSG00000005469.12_CROT	2808.00	3013.00	3348.00	1710.00	2004.00	2107.00
ENSG00000005471.19_ABCB4	91.00	82.00	84.00	40.00	29.00	24.00
ENSG00000005483.22_KMT2E	17660.00	19422.00	19943.00	16736.00	18069.00	18026.00
ENSG00000005486.17_RHBDD2	24142.00	28352.00	30791.00	19264.00	21441.00	24118.00
ENSG00000005513.10_SOX8	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005700.15_IBTK	8890.00	10485.00	10780.00	8741.00	8957.00	9665.00
ENSG00000005801.18_ZNF195	1724.00	1748.00	1978.00	1659.00	1829.00	1624.00
ENSG00000005810.19_MYCBP2	10788.00	9253.00	9524.00	10793.00	10724.00	10279.00
ENSG00000005812.11_FBXL3	6844.00	8385.00	8668.00	6148.00	6598.00	6864.00
ENSG00000005844.19_ITGAL	10.00	11.00	4.00	8.00	5.00	6.00
ENSG00000005882.12_PDK2	6185.00	7281.00	7628.00	3491.00	3995.00	4012.00
ENSG00000005884.18_ITGA3	17105.00	18952.00	20828.00	25471.00	25034.00	25604.00
ENSG00000005889.16_ZFX	15076.00	16727.00	17479.00	15179.00	16409.00	16447.00
ENSG00000005893.16_LAMP2	27996.00	31184.00	33708.00	25217.00	27201.00	30435.00
ENSG00000005961.19_ITGA2B	20.00	23.00	43.00	22.00	38.00	44.00
ENSG00000005981.13_ASB4	15.00	9.00	9.00	13.00	10.00	8.00
ENSG00000006007.12_GDE1	8938.00	10620.00	11512.00	6330.00	6879.00	7797.00
ENSG00000006015.18_REX1BD	987.00	991.00	1134.00	730.00	815.00	749.00
ENSG00000006016.12_CRLF1	354.00	375.00	522.00	267.00	301.00	363.00
ENSG00000006025.12_OSBPL7	1923.00	2389.00	2588.00	1146.00	1264.00	1362.00
ENSG00000006042.12_TMEM98	10.00	3.00	8.00	0.00	4.00	4.00
ENSG00000006047.13_YBX2	542.00	587.00	594.00	301.00	295.00	266.00
ENSG00000006059.4_KRT33A	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006062.18_MAP3K14	3691.00	4011.00	4508.00	3326.00	3419.00	3680.00
ENSG00000006071.16_ABCC8	1.00	0.00	2.00	0.00	0.00	3.00
ENSG00000006116.4_CACNG3	17.00	49.00	52.00	29.00	23.00	30.00
ENSG00000006118.15_TMEM132A	681.00	693.00	899.00	579.00	635.00	696.00
ENSG00000006125.18_AP2B1	67879.00	77195.00	80242.00	46204.00	49341.00	52980.00
ENSG00000006128.12_TAC1	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000006194.10_ZNF263	2209.00	2295.00	2670.00	2103.00	2101.00	2295.00
ENSG00000006210.7_CX3CL1	531.00	634.00	676.00	423.00	468.00	562.00
ENSG00000006282.21_SPATA20	3277.00	3820.00	4161.00	2489.10	2714.00	2887.00
ENSG00000006283.18_CACNA1G	63.00	39.00	54.00	13.00	32.00	13.00
ENSG00000006327.14_TNFRSF12A	636.00	784.00	1007.00	1510.00	1757.00	2456.00
ENSG00000006377.11_DLX6	5535.00	6231.00	6673.00	4568.00	4928.00	5338.00
ENSG00000006432.16_MAP3K9	4026.00	4310.00	4456.00	3161.00	3076.00	3323.00
ENSG00000006451.8_RALA	5005.00	5917.00	6194.00	4036.00	4401.00	5002.00
ENSG00000006453.14_BAIAP2L1	110.00	102.00	138.00	47.00	47.00	45.00
ENSG00000006459.11_KDM7A	1196.00	1207.00	1267.00	1508.00	1494.00	1572.00
ENSG00000006468.14_ETV1	50.00	76.00	92.00	55.00	61.00	34.00
ENSG00000006530.18_AGK	2792.00	3128.00	3405.00	1871.00	1973.00	2236.00
ENSG00000006534.17_ALDH3B1	2148.00	2372.00	2742.00	1273.00	1316.00	1599.00
ENSG00000006555.11_TTC22	18.00	13.00	23.00	2.00	2.00	0.00
ENSG00000006576.16_PHTF2	11050.00	12869.00	13679.00	11286.00	12759.00	12951.00
ENSG00000006606.9_CCL26	14.00	23.00	20.00	27.00	16.00	16.00
ENSG00000006607.14_FARP2	8400.00	9526.00	10127.00	6645.00	7354.00	7462.00
ENSG00000006611.17_USH1C	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006625.18_GGCT	2022.81	2488.78	2687.86	1614.98	1668.43	2139.40
ENSG00000006634.8_DBF4	5677.00	6980.99	7586.99	4575.99	4988.00	4979.99
ENSG00000006638.13_TBXA2R	251.00	319.00	299.00	113.00	116.00	139.00
ENSG00000006652.15_IFRD1	2985.34	3477.41	3760.70	4028.49	4069.26	4741.87
ENSG00000006659.13_LGALS14	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006695.12_COX10	4532.13	5294.70	5364.32	3805.21	4113.52	4200.60
ENSG00000006704.11_GTF2IRD1	2333.00	2708.00	2935.00	2076.00	2114.00	2467.00
ENSG00000006712.15_PAF1	7468.00	8637.00	9510.00	7411.00	8047.00	8338.00
ENSG00000006715.16_VPS41	8806.00	9523.00	10240.00	5510.00	6204.00	6574.00
ENSG00000006740.18_ARHGAP44	10907.00	12378.00	12838.00	8318.00	8878.00	9262.00
ENSG00000006744.19_ELAC2	14473.00	16415.00	17846.00	11653.00	13113.00	13895.00
ENSG00000006747.15_SCIN	33.00	31.00	38.00	33.00	35.00	39.00
ENSG00000006756.16_ARSD	2643.00	2946.00	3445.00	1507.00	1849.00	1994.00
ENSG00000006757.12_PNPLA4	10.00	2.00	5.00	2.00	1.00	2.00
ENSG00000006788.14_MYH13	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006831.10_ADIPOR2	4733.00	5396.00	5850.00	3880.00	4184.00	4877.00
ENSG00000006837.12_CDKL3	244.00	308.29	290.51	224.97	229.64	280.23
ENSG00000007001.13_UPP2	0.00	0.00	4.00	0.00	0.00	0.00
ENSG00000007038.11_PRSS21	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007047.16_MARK4	2272.00	2412.00	2957.00	1564.00	1736.00	1988.00
ENSG00000007062.12_PROM1	118.00	179.00	213.00	101.00	137.00	181.00
