pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
DNA Repair all genes	-0.1300898343628208	0.09532580593605	-0.2254156402988708	1	0.2
Homologous Recombination	0.010016009043297913	-0.08546908875296355	0.09548509779626146	6	0.7
Mismatch Repair	0.5040574391651967	-0.3918885839963478	0.8959460231615446	9	0.1
Nucleotide Excision Repair	-0.310915810006694	0.27512879405458435	-0.5860446040612783	0	0.1
Non-homologous End Joining	-0.4816019617593542	0.3465346534653448	-0.828136615224699	0	0.1
