gene	plot_type	plot_subtype
GOPC	Oncogene	Other Oncogene
GORAB	Tumor Suppressor	Other Tumor Suppressor
GPA33	Oncogene	Other Oncogene
GPBP1	Other	Transcription Factor
GPBP1L1	Other	Transcription Factor
GPC3	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
GPC5	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
GPER1	Oncogene	Other Oncogene
GPHN	Oncogene	Other Oncogene
GPNMB	Oncogene	Other Oncogene
GPR161	Oncogene	Other Oncogene
GPR68	Oncogene	Other Oncogene
GPRC5A	Tumor Suppressor	Other Tumor Suppressor
GPRK4	Other	Kinase
GPRK5	Other	Kinase
GPRK6	Other	Kinase
GPRK6ps	Other	Kinase
GPRK7	Other	Kinase
GPX1	Oncogene	Other Oncogene
GPX3	Tumor Suppressor	Other Tumor Suppressor
GRB10	Oncogene	Other Oncogene
GRB2	Oncogene	Other Oncogene
GREM1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
GRHL1	Other	Transcription Factor
GRHL2	Other	Transcription Factor
GRHL3	Other	Transcription Factor
GRIN2A	Tumor Suppressor	Other Tumor Suppressor
GRIN2D	Oncogene	Other Oncogene
GRK1	Other	Kinase
GRK1	Other	Kinase
GRK2	Other	Kinase
GRK3	Other	Kinase
GRK4	Other	Kinase
GRK5	Other	Kinase
GRK5	Other	Kinase
GRK6	Other	Kinase
GRK6	Other	Kinase
GRK7	Other	Kinase
GRK7	Other	Kinase
GRN	Oncogene	Other Oncogene
GRP	Oncogene	Other Oncogene
GRPR	Oncogene	Other Oncogene
GSC	Other	Transcription Factor
GSC2	Other	Transcription Factor
GSDMA	Oncogene	Other Oncogene
GSDME	Tumor Suppressor	Other Tumor Suppressor
GSE1	Oncogene	Epigenetic
GSK3A	Other	Kinase
GSK3B	Oncogene or Tumor Suppressor	Kinase
GSN	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
GSPT1	Oncogene	Other Oncogene
GSTM1	Oncogene	Other Oncogene
GSTP1	Tumor Suppressor	Other Tumor Suppressor
GSTT1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
GSX1	Other	Transcription Factor
GSX2	Other	Transcription Factor
GTF2A1	Oncogene	Other Oncogene
GTF2B	Other	Transcription Factor
GTF2H1	Oncogene	Other Oncogene
GTF2I	Other	Epigenetic
GTF2IRD1	Other	Transcription Factor
GTF2IRD2	Other	Transcription Factor
GTF2IRD2B	Other	Transcription Factor
GTF3A	Other	RNA Binding Protein
GTPBP4	Tumor Suppressor	Other Tumor Suppressor
GUCY1A2	Oncogene	Other Oncogene
GUCY2C	Tumor Suppressor	Kinase
GUCY2D	Other	Kinase
GUCY2F	Other	Kinase
GZF1	Other	Transcription Factor
H1-2	Oncogene	Other Oncogene
H1-5	Oncogene	Other Oncogene
H11	Other	Kinase
H19	Tumor Suppressor	Other Tumor Suppressor
H2AFX	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
H2AX	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
H3-3A	Oncogene	Other Oncogene
H3C2	Oncogene	Other Oncogene
H3F3A	Oncogene	Other Oncogene
H4C9	Oncogene	Other Oncogene
HACD4	Tumor Suppressor	Other Tumor Suppressor
HACE1	Tumor Suppressor	Other Tumor Suppressor
HAND1	Other	Transcription Factor
HAND2	Other	Transcription Factor
HAPLN1	Oncogene	Other Oncogene
HAS2	Oncogene	Other Oncogene
HBP1	Oncogene or Tumor Suppressor	Transcription Factor
HCAR2	Tumor Suppressor	Other Tumor Suppressor
HCK	Oncogene	Kinase
HDAC1	Tumor Suppressor	Epigenetic
HDAC2	Oncogene	Epigenetic
HDAC3	Oncogene or Tumor Suppressor	Epigenetic
HDAC4	Oncogene	Epigenetic
HDAC6	Oncogene	Epigenetic
HDHD5	Oncogene	Other Oncogene
HDLBP	Oncogene	RNA Binding Protein
HDX	Other	Transcription Factor
HECA	Tumor Suppressor	Other Tumor Suppressor
HELT	Other	Transcription Factor
HEPACAM	Tumor Suppressor	Other Tumor Suppressor
HERPUD1	Oncogene	Other Oncogene
HES1	Oncogene	Transcription Factor
HES2	Other	Transcription Factor
HES3	Other	Transcription Factor
HES4	Other	Transcription Factor
HES5	Other	Transcription Factor
HES6	Other	Transcription Factor
HES7	Other	Transcription Factor
HESX1	Other	Transcription Factor
HEXIM1	Oncogene	Other Oncogene
HEY1	Oncogene	Transcription Factor
HEY2	Other	Transcription Factor
HEYL	Other	Transcription Factor
HFE	Oncogene	Other Oncogene
HGF	Oncogene	Other Oncogene
HGK	Other	Kinase
HH498	Other	Kinase
HHEX	Oncogene	Transcription Factor
HIC1	Oncogene or Tumor Suppressor	Transcription Factor
HIC2	Other	Transcription Factor
HIF1A	Tumor Suppressor	Transcription Factor
HIF3A	Other	Transcription Factor
HINFP	Other	Epigenetic
HINT1	Tumor Suppressor	Other Tumor Suppressor
HIP1	Oncogene	Other Oncogene
HIPK1	Other	Kinase
HIPK2	Oncogene or Tumor Suppressor	Kinase
HIPK3	Other	Kinase
HIPK4	Other	Kinase
HIRA	Tumor Suppressor	Epigenetic
HIST1H1B	Oncogene	Other Oncogene
HIST1H1C	Oncogene	Other Oncogene
HIST1H3B	Oncogene	Other Oncogene
HIST1H4I	Oncogene	Other Oncogene
HIVEP1	Oncogene or Tumor Suppressor	Transcription Factor
HIVEP2	Other	Transcription Factor
HIVEP3	Oncogene or Tumor Suppressor	Transcription Factor
HK1	Other	Kinase
HK2	Other	Kinase
HK3	Other	Kinase
HKDC1	Other	Kinase
HKR1	Oncogene	Transcription Factor
HLF	Oncogene	Transcription Factor
HLTF	Oncogene or Tumor Suppressor	Epigenetic
HLX	Other	Transcription Factor
HMBOX1	Other	Transcription Factor
HMG20A	Other	Epigenetic
HMG20B	Other	Epigenetic
HMGA1	Oncogene	Transcription Factor
HMGA2	Oncogene	Transcription Factor
HMGB1	Oncogene	Epigenetic
HMGCR	Oncogene	Other Oncogene
HMGN2P46	Oncogene	Other Oncogene
HMGN3	Other	Epigenetic
HMX1	Other	Transcription Factor
HMX2	Other	Transcription Factor
HMX3	Other	Transcription Factor
HNF1A	Oncogene	Transcription Factor
HNF1B	Other	Transcription Factor
HNF4A	Tumor Suppressor	Transcription Factor
HNF4G	Other	Transcription Factor
HNRNPA2B1	Oncogene	RNA Binding Protein
HNRNPA3	Oncogene	RNA Binding Protein
HNRNPD	Oncogene	RNA Binding Protein
HNRNPK	Oncogene	RNA Binding Protein
HOMER2	Tumor Suppressor	Other Tumor Suppressor
HOMEZ	Other	Transcription Factor
HOOK3	Oncogene	Other Oncogene
HOPX	Tumor Suppressor	Other Tumor Suppressor
HOTS	Tumor Suppressor	Other Tumor Suppressor
HOXA1	Other	Transcription Factor
HOXA10	Other	Transcription Factor
HOXA11	Oncogene	Transcription Factor
HOXA13	Oncogene	Transcription Factor
HOXA2	Other	Transcription Factor
HOXA3	Oncogene	Transcription Factor
HOXA4	Other	Transcription Factor
HOXA5	Other	Transcription Factor
HOXA6	Other	Transcription Factor
HOXA7	Oncogene	Transcription Factor
HOXA9	Oncogene	Transcription Factor
HOXB1	Other	Transcription Factor
HOXB13	Tumor Suppressor	Transcription Factor
HOXB2	Other	Transcription Factor
HOXB3	Other	Transcription Factor
HOXB4	Other	Transcription Factor
HOXB5	Other	Transcription Factor
HOXB6	Other	Transcription Factor
HOXB7	Other	Transcription Factor
HOXB8	Oncogene	Transcription Factor
HOXB9	Other	Transcription Factor
HOXC10	Other	Transcription Factor
HOXC11	Oncogene	Transcription Factor
HOXC12	Other	Transcription Factor
HOXC13	Oncogene	Transcription Factor
HOXC4	Other	Transcription Factor
HOXC5	Other	Transcription Factor
HOXC6	Other	Transcription Factor
HOXC8	Other	Transcription Factor
HOXC9	Other	Transcription Factor
HOXD1	Other	Transcription Factor
HOXD10	Other	Transcription Factor
HOXD11	Oncogene	Transcription Factor
HOXD12	Other	Transcription Factor
HOXD13	Oncogene	Transcription Factor
HOXD3	Other	Transcription Factor
HOXD4	Other	Transcription Factor
HOXD8	Other	Transcription Factor
HOXD9	Other	Transcription Factor
HPGD	Tumor Suppressor	Other Tumor Suppressor
HPK1	Other	Kinase
HPR	Oncogene	Other Oncogene
HPSE	Oncogene	Other Oncogene
HRAS	Oncogene	Other Oncogene
HRASLS2	Tumor Suppressor	Other Tumor Suppressor
HRG	Tumor Suppressor	Other Tumor Suppressor
HRI	Other	Kinase
HRIps	Other	Kinase
HSER	Other	Kinase
HSF1	Other	Transcription Factor
HSF2	Other	Transcription Factor
HSF4	Other	Transcription Factor
HSF5	Other	Transcription Factor
HSFX1	Other	Transcription Factor
HSFX2	Other	Transcription Factor
HSFY1	Other	Transcription Factor
HSFY2	Other	Transcription Factor
HSP90AA1	Oncogene	Other Oncogene
HSP90AA2P	Oncogene	Other Oncogene
HSP90AB1	Oncogene	Other Oncogene
HSP90B1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
HSP90B2P	Oncogene	Other Oncogene
HSPA5	Oncogene	Other Oncogene
HSPA9	Oncogene	Other Oncogene
HSPB1	Oncogene	Other Oncogene
HSPB7	Tumor Suppressor	Other Tumor Suppressor
HSPBAP1	Oncogene	Other Oncogene
HSPD1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
HSPG2	Oncogene	Other Oncogene
HSPH1	Oncogene	Other Oncogene
HTATIP2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
HTRA1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
HTRA2	Tumor Suppressor	Other Tumor Suppressor
HTRA3	Tumor Suppressor	Other Tumor Suppressor
HUNK	Other	Kinase
HUS1	Oncogene	Other Oncogene
HYAL1	Oncogene	Other Oncogene
HYAL2	Oncogene	Other Oncogene
Haspin	Other	Kinase
ICAM1	Oncogene	Other Oncogene
ICAM5	Oncogene	Other Oncogene
ICK	Other	Kinase
ID2	Oncogene	Other Oncogene
ID3	Oncogene	Other Oncogene
ID4	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IDH1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IDH2	Oncogene	Other Oncogene
IDNK	Oncogene	Other Oncogene
IDO1	Oncogene	Other Oncogene
IDO2	Oncogene	Other Oncogene
IER2	Oncogene	Other Oncogene
IER3	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IFI16	Tumor Suppressor	Other Tumor Suppressor
IFI27	Oncogene	Other Oncogene
IFI30	Oncogene	Other Oncogene
IFNAR1	Oncogene	Other Oncogene
IFNGR2	Oncogene	Other Oncogene
IFRD2	Oncogene	Other Oncogene
IFT88	Tumor Suppressor	Other Tumor Suppressor
IGF1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGF1R	Oncogene	Kinase
IGF2	Oncogene	Other Oncogene
IGF2BP1	Oncogene	RNA Binding Protein
IGF2R	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGFALS	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGFBP1	Oncogene	Other Oncogene
IGFBP2	Oncogene	Other Oncogene
IGFBP3	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGFBP4	Tumor Suppressor	Other Tumor Suppressor
IGFBP5	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGFBP6	Oncogene	Other Oncogene
IGFBP7	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IGFBPL1	Tumor Suppressor	Other Tumor Suppressor
IGH	Oncogene	Other Oncogene
IGH	Oncogene	Other Oncogene
IGH-@	Oncogene	Other Oncogene
IGH@	Oncogene	Other Oncogene
IGHG1	Oncogene	Other Oncogene
IGK	Oncogene	Other Oncogene
IGL	Oncogene	Other Oncogene
IGL	Oncogene	Other Oncogene
IGL-@	Oncogene	Other Oncogene
IGL@	Oncogene	Other Oncogene
IGSF8	Oncogene	Other Oncogene
IKBKB	Other	Kinase
IKBKE	Other	Kinase
IKKa	Other	Kinase
IKKb	Other	Kinase
IKKe	Other	Kinase
IKZF1	Oncogene or Tumor Suppressor	Epigenetic
IKZF2	Oncogene or Tumor Suppressor	Transcription Factor
IKZF3	Oncogene or Tumor Suppressor	Epigenetic
IKZF4	Other	Transcription Factor
IKZF5	Other	Transcription Factor
IL16	Oncogene	Other Oncogene
IL17A	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IL17RB	Oncogene	Other Oncogene
IL17RD	Tumor Suppressor	Other Tumor Suppressor
IL1B	Oncogene	Other Oncogene
IL2	Oncogene	Other Oncogene
IL21R	Oncogene	Other Oncogene
IL22	Oncogene	Other Oncogene
IL22RA1	Oncogene	Other Oncogene
IL23A	Oncogene	Other Oncogene
IL24	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IL2RA	Oncogene	Other Oncogene
IL2RB	Oncogene	Other Oncogene
IL2RG	Oncogene	Other Oncogene
IL3	Oncogene	Other Oncogene
IL3RA	Oncogene	Other Oncogene
IL4R	Oncogene	Other Oncogene
IL5	Oncogene	Other Oncogene
IL6	Oncogene	Other Oncogene
IL6ST	Oncogene	Other Oncogene
IL7	Oncogene	Other Oncogene
IL9	Oncogene	Other Oncogene
ILK	Tumor Suppressor	Kinase
ING1	Tumor Suppressor	Epigenetic
ING2	Oncogene or Tumor Suppressor	Epigenetic
ING3	Oncogene or Tumor Suppressor	Epigenetic
ING4	Oncogene or Tumor Suppressor	Epigenetic
ING5	Tumor Suppressor	Epigenetic
INGX	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
INHA	Oncogene	Other Oncogene
INHBE	Oncogene	Other Oncogene
INKA2	Oncogene	Other Oncogene
INPP4B	Tumor Suppressor	Other Tumor Suppressor
INPP5K	Oncogene	Other Oncogene
INPPL1	Oncogene	Other Oncogene
INSM1	Other	Transcription Factor
INSM2	Other	Transcription Factor
INSR	Other	Kinase
INSRR	Other	Kinase
INTS6	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IQCE	Oncogene	Other Oncogene
IQGAP2	Tumor Suppressor	Other Tumor Suppressor
IRAG1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IRAG2	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
IRAK1	Other	Kinase
IRAK2	Oncogene	Kinase
IRAK3	Other	Kinase
IRAK4	Other	Kinase
IRE1	Other	Kinase
IRE2	Other	Kinase
IRF1	Oncogene or Tumor Suppressor	Transcription Factor
IRF2	Other	Transcription Factor
IRF2BP2	Oncogene	Other Oncogene
IRF3	Tumor Suppressor	Transcription Factor
IRF4	Oncogene or Tumor Suppressor	Transcription Factor
IRF5	Tumor Suppressor	Transcription Factor
IRF6	Other	Transcription Factor
IRF7	Other	Transcription Factor
IRF8	Tumor Suppressor	Transcription Factor
IRF9	Other	Transcription Factor
IRR	Other	Kinase
IRX1	Tumor Suppressor	Transcription Factor
IRX2	Other	Transcription Factor
IRX3	Other	Transcription Factor
IRX4	Other	Transcription Factor
IRX5	Other	Transcription Factor
IRX6	Other	Transcription Factor
ISG15	Tumor Suppressor	Other Tumor Suppressor
ISL1	Other	Transcription Factor
ISL2	Other	Transcription Factor
ISX	Other	Transcription Factor
ITGA11	Oncogene	Other Oncogene
ITGA5	Tumor Suppressor	Other Tumor Suppressor
ITGA7	Tumor Suppressor	Other Tumor Suppressor
ITGA9	Oncogene	Other Oncogene
ITGAV	Tumor Suppressor	Other Tumor Suppressor
ITGAX	Oncogene	Other Oncogene
ITGB1	Tumor Suppressor	Other Tumor Suppressor
ITGB3	Tumor Suppressor	Other Tumor Suppressor
ITGB4	Oncogene	Other Oncogene
ITK	Oncogene	Kinase
JAG1	Oncogene	Other Oncogene
JAG2	Oncogene	Other Oncogene
JAK1	Oncogene	Kinase
JAK2	Oncogene	Kinase
JAK3	Oncogene	Kinase
JAKMIP1	Oncogene	Other Oncogene
JAZF1	Oncogene	Transcription Factor
JDP2	Oncogene or Tumor Suppressor	Epigenetic
JNK1	Other	Kinase
JNK2	Other	Kinase
JNK3	Other	Kinase
JRK	Other	Transcription Factor
JRKL	Other	Transcription Factor
JUN	Oncogene	Transcription Factor
JUNB	Oncogene	Transcription Factor
JUND	Oncogene	Transcription Factor
JUP	Tumor Suppressor	Other Tumor Suppressor
KALRN	Other	Kinase
KANK1	Tumor Suppressor	Other Tumor Suppressor
KAT14	Oncogene	Other Oncogene
KAT5	Oncogene or Tumor Suppressor	Epigenetic
KAT6A	Oncogene	Epigenetic
KAT6B	Oncogene	Epigenetic
KAT7	Other	Epigenetic
KCMF1	Oncogene	Transcription Factor
KCNH1	Oncogene	Other Oncogene
KCNIP3	Other	Transcription Factor
KCNK5	Oncogene	Other Oncogene
KCNQ5	Oncogene	Other Oncogene
KCNRG	Tumor Suppressor	Other Tumor Suppressor
KCTD2	Oncogene	Other Oncogene
KDM2A	Other	Epigenetic
KDM2B	Oncogene	Epigenetic
KDM3A	Oncogene or Tumor Suppressor	Epigenetic
KDM3B	Tumor Suppressor	Epigenetic
KDM4C	Oncogene	Epigenetic
KDM5A	Oncogene or Tumor Suppressor	Epigenetic
KDM5B	Other	Epigenetic
KDM5C	Oncogene	Epigenetic
KDM6A	Oncogene or Tumor Suppressor	Epigenetic
KDM8	Oncogene or Tumor Suppressor	Epigenetic
KDR	Oncogene	Kinase
KDSR	Oncogene	Other Oncogene
KEAP1	Oncogene	Epigenetic
KHS1	Other	Kinase
KHS2	Other	Kinase
KIAA0895L	Oncogene	Other Oncogene
KIAA1147	Oncogene	Other Oncogene
KIAA1524	Oncogene	Other Oncogene
KIAA1549	Oncogene	Other Oncogene
KIF14	Oncogene	Other Oncogene
KIF1B	Tumor Suppressor	Other Tumor Suppressor
KIF7	Tumor Suppressor	Other Tumor Suppressor
KIN	Other	RNA Binding Protein
KIS	Other	Kinase
KISS1	Tumor Suppressor	Other Tumor Suppressor
KIT	Oncogene	Kinase
KITLG	Oncogene	Other Oncogene
KIZ	Oncogene	Other Oncogene
KL	Tumor Suppressor	Other Tumor Suppressor
KLF1	Other	Transcription Factor
KLF10	Tumor Suppressor	Transcription Factor
KLF11	Other	Transcription Factor
KLF12	Other	Transcription Factor
KLF13	Other	Transcription Factor
KLF14	Other	Transcription Factor
KLF15	Other	Transcription Factor
KLF16	Other	Transcription Factor
KLF17	Other	Transcription Factor
KLF2	Other	Transcription Factor
KLF3	Oncogene	Transcription Factor
KLF4	Oncogene or Tumor Suppressor	Transcription Factor
KLF5	Oncogene or Tumor Suppressor	Transcription Factor
KLF6	Oncogene or Tumor Suppressor	Transcription Factor
KLF7	Other	Transcription Factor
KLF8	Other	Transcription Factor
KLF9	Other	Transcription Factor
KLHL10	Oncogene	Other Oncogene
KLK10	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
KLK11	Oncogene	Other Oncogene
KLK2	Oncogene	Other Oncogene
KLK4	Oncogene	Other Oncogene
KLK5	Oncogene	Other Oncogene
KLK6	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
KLK7	Oncogene	Other Oncogene
KLRK1	Oncogene	Other Oncogene
KMT2A	Oncogene	Epigenetic
KMT2B	Other	Epigenetic
KMT2C	Oncogene or Tumor Suppressor	Epigenetic
KMT2D	Oncogene	Epigenetic
KNL1	Oncogene	Other Oncogene
KPNA5	Oncogene	Other Oncogene
KRAS	Oncogene	Other Oncogene
KRIT1	Tumor Suppressor	Other Tumor Suppressor
KRT19	Tumor Suppressor	Other Tumor Suppressor
KRT26	Oncogene	Other Oncogene
KRT73	Oncogene	Other Oncogene
KSGCps	Other	Kinase
KSR1	Oncogene	Kinase
KSR2	Other	Kinase
KTN1	Oncogene	Other Oncogene
L1CAM	Oncogene	Other Oncogene
L3MBTL1	Other	Epigenetic
L3MBTL3	Other	RNA Binding Protein
L3MBTL4	Tumor Suppressor	Epigenetic
LACTB	Oncogene	Other Oncogene
LAPTM5	Oncogene	Other Oncogene
LASP1	Oncogene	Other Oncogene
LAT2	Tumor Suppressor	Other Tumor Suppressor
LATS1	Oncogene or Tumor Suppressor	Kinase
LATS2	Oncogene or Tumor Suppressor	Kinase
LBX1	Other	Transcription Factor
LBX2	Other	Transcription Factor
LCK	Oncogene	Kinase
LCOR	Other	Transcription Factor
LCORL	Other	Transcription Factor
LCP1	Oncogene	Other Oncogene
LDB1	Oncogene	Other Oncogene
LEF1	Oncogene	Transcription Factor
LEFTY1	Tumor Suppressor	Other Tumor Suppressor
LEFTY2	Tumor Suppressor	Other Tumor Suppressor
LEUTX	Other	Transcription Factor
LFNG	Oncogene	Other Oncogene
LGALS3	Oncogene	Other Oncogene
LGALS3BP	Oncogene	Other Oncogene
LGALS7	Tumor Suppressor	Other Tumor Suppressor
LGI1	Oncogene	Other Oncogene
LGR6	Oncogene	Other Oncogene
LHCGR	Oncogene	Other Oncogene
LHFP	Oncogene	Other Oncogene
LHFPL6	Oncogene	Other Oncogene
LHX1	Other	Transcription Factor
LHX2	Other	Transcription Factor
LHX3	Other	Transcription Factor
LHX4	Tumor Suppressor	Transcription Factor
LHX5	Other	Transcription Factor
LHX6	Tumor Suppressor	Transcription Factor
LHX8	Other	Transcription Factor
LHX9	Other	Transcription Factor
LIFR	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
LIMA1	Tumor Suppressor	Other Tumor Suppressor
LIMD1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
LIMK1	Oncogene	Kinase
LIMK2	Other	Kinase
LIMK2ps	Other	Kinase
LIN28A	Other	Transcription Factor
LIN28B	Other	RNA Binding Protein
LIN54	Other	Transcription Factor
LIN9	Tumor Suppressor	Other Tumor Suppressor
LINC-PINT	Tumor Suppressor	Other Tumor Suppressor
LITAF	Tumor Suppressor	Other Tumor Suppressor
LKB1	Other	Kinase
LLGL1	Tumor Suppressor	Other Tumor Suppressor
LMF1	Oncogene	Other Oncogene
LMNTD1	Tumor Suppressor	Other Tumor Suppressor
LMO1	Oncogene	Other Oncogene
LMO2	Oncogene	Other Oncogene
LMO3	Oncogene	Other Oncogene
LMO7	Oncogene	Other Oncogene
LMR1	Other	Kinase
LMR2	Other	Kinase
LMR3	Other	Kinase
LMTK2	Other	Kinase
LMTK3	Other	Kinase
LMX1A	Other	Transcription Factor
LMX1B	Other	Transcription Factor
LNPEP	Oncogene	Other Oncogene
LOC401317	Tumor Suppressor	Other Tumor Suppressor
LOK	Other	Kinase
LOX	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
LOXL2	Oncogene	Other Oncogene
LOXL3	Oncogene	Other Oncogene
LOXL4	Oncogene	Other Oncogene
LPAR1	Oncogene	Other Oncogene
LPP	Oncogene	Other Oncogene
LRBA	Oncogene	Other Oncogene
LRGUK	Oncogene	Other Oncogene
LRIG1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
LRIG3	Tumor Suppressor	Other Tumor Suppressor
LRMP	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
LRP1B	Tumor Suppressor	Other Tumor Suppressor
LRP2	Oncogene	Other Oncogene
LRP5	Oncogene	Other Oncogene
LRRC25	Oncogene	Other Oncogene
LRRC3B	Tumor Suppressor	Other Tumor Suppressor
LRRC4	Tumor Suppressor	Other Tumor Suppressor
LRRFIP1	Oncogene	Other Oncogene
LRRK1	Other	Kinase
LRRK2	Other	Kinase
LSAMP	Tumor Suppressor	Other Tumor Suppressor
LTA	Oncogene	Other Oncogene
LTB	Oncogene	Other Oncogene
LTBP2	Oncogene	Other Oncogene
LTBP3	Oncogene	Other Oncogene
LTBR	Oncogene	Other Oncogene
LTF	Tumor Suppressor	Transcription Factor
LTK	Other	Kinase
LTO1	Oncogene	Other Oncogene
LXN	Tumor Suppressor	Other Tumor Suppressor
LY6E	Oncogene	Other Oncogene
LYL1	Oncogene	Transcription Factor
LYN	Oncogene	Kinase
LYPD3	Oncogene	Other Oncogene
LZK	Other	Kinase
LZTS1	Tumor Suppressor	Other Tumor Suppressor
M1AP	Oncogene	Other Oncogene
MACF1	Oncogene	Other Oncogene
MACROD1	Oncogene	Other Oncogene
MAD1L1	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
MAD2L1	Oncogene	Other Oncogene
MADD	Tumor Suppressor	Other Tumor Suppressor
MAF	Oncogene	Transcription Factor
MAFA	Oncogene	Transcription Factor
MAFB	Oncogene	Transcription Factor
MAFF	Other	Transcription Factor
MAFG	Oncogene	Transcription Factor
MAFK	Oncogene	Transcription Factor
MAGEC2	Oncogene	Other Oncogene
MAGEE1	Oncogene	Other Oncogene
MAK	Other	Kinase
MAL	Oncogene or Tumor Suppressor	Oncogene or Tumor Suppressor
MALAT1	Oncogene	Other Oncogene
MALT1	Oncogene	Other Oncogene
MAMDC4	Oncogene	Other Oncogene
MAML2	Oncogene	Other Oncogene
MANF	Oncogene	Other Oncogene
MAP2	Oncogene	Other Oncogene
MAP2K1	Oncogene	Kinase
MAP2K1ps	Other	Kinase
MAP2K2	Other	Kinase
MAP2K2ps	Other	Kinase
MAP2K3	Other	Kinase
MAP2K4	Oncogene or Tumor Suppressor	Kinase
MAP2K5	Oncogene	Kinase
MAP2K6	Other	Kinase
MAP2K7	Other	Kinase
MAP3K1	Oncogene	Kinase
MAP3K10	Other	Kinase
MAP3K10	Other	Kinase
MAP3K11	Other	Kinase
MAP3K11	Other	Kinase
MAP3K12	Other	Kinase
MAP3K13	Other	Kinase
MAP3K14	Other	Kinase
MAP3K15	Other	Kinase
MAP3K19	Other	Kinase
MAP3K2	Other	Kinase
MAP3K20	Other	Kinase
MAP3K21	Other	Kinase
MAP3K3	Other	Kinase
MAP3K4	Tumor Suppressor	Kinase
MAP3K5	Other	Kinase
MAP3K6	Oncogene	Kinase
MAP3K7	Oncogene	Kinase
MAP3K7	Other	Kinase
MAP3K8	Oncogene or Tumor Suppressor	Kinase
MAP3K8	Other	Kinase
MAP3K9	Other	Kinase
MAP3K9	Other	Kinase
MAP4	Oncogene	Other Oncogene
MAP4K1	Tumor Suppressor	Kinase
MAP4K2	Oncogene	Kinase
MAP4K3	Other	Kinase
MAP4K4	Other	Kinase
MAP4K5	Other	Kinase
MAPK1	Oncogene	Kinase
MAPK10	Oncogene or Tumor Suppressor	Kinase
MAPK11	Other	Kinase
MAPK12	Oncogene	Kinase
MAPK13	Oncogene	Kinase
MAPK14	Oncogene	Kinase
MAPK15	Other	Kinase
MAPK3	Oncogene	Kinase
MAPK4	Oncogene	Kinase
MAPK6	Oncogene	Kinase
MAPK7	Oncogene	Kinase
MAPK8	Oncogene	Kinase
MAPK9	Oncogene or Tumor Suppressor	Kinase
MAPKAPK2	Oncogene	Kinase
MAPKAPK3	Other	Kinase
MAPKAPK5	Other	Kinase
MAPKAPKps1	Other	Kinase
MAPRE1	Oncogene	Other Oncogene
MARCH3	Oncogene	Other Oncogene
MARCHF3	Oncogene	Other Oncogene
MARCKS	Tumor Suppressor	Other Tumor Suppressor
MARK1	Other	Kinase
MARK2	Other	Kinase
MARK3	Other	Kinase
MARK4	Oncogene	Kinase
MARKps01	Other	Kinase
MARKps02	Other	Kinase
MARKps03	Other	Kinase
MARKps04	Other	Kinase
MARKps05	Other	Kinase
MARKps07	Other	Kinase
MARKps08	Other	Kinase
MARKps09	Other	Kinase
MARKps10	Other	Kinase
MARKps11	Other	Kinase
MARKps12	Other	Kinase
MARKps13	Other	Kinase
MARKps15	Other	Kinase
MARKps16	Other	Kinase
MARKps17	Other	Kinase
MARKps18	Other	Kinase
MARKps19	Other	Kinase
MARKps20	Other	Kinase
MARKps21	Other	Kinase
MARKps22	Other	Kinase
MARKps23	Other	Kinase
MARKps24	Other	Kinase
MARKps25	Other	Kinase
MARKps26	Other	Kinase
MARKps27	Other	Kinase
MARKps28	Other	Kinase
